scope_key,region,delay,universe,dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_evidence
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.9177,0.9507,6.0,1.5,2026-03-01,acquisition_model__fc15,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,ai_equity_alpha,AI Equity Alpha Forecasts,Model,582,0.9847,0.9507,6.0,1.3,2026-02-01,ai_equity_alpha__fc582,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,1.0,0.9507,5.0,1.3,2026-03-01,ai_factor_transfer__fc20,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,ai_news_scores,AI News Sentiment Scores,Other,105,0.5007,0.9003,7.0,1.5,2026-03-01,ai_news_scores__fc105,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst10,Performance-Weighted Analyst Estimates,Analyst,505,0.6828,1.0,3.0,1.5,2026-04-01,analyst10__fc505,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst11,ESG scores,Analyst,210,0.6111,0.9507,5.0,1.5,2025-11-01,analyst11__fc210,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst14,Estimations of Key Fundamentals,Analyst,3,0.2143,1.0,1.0,1.5,2022-07-01,analyst14__fc3,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst15,Earnings forecasts,Analyst,1437,0.3947,1.0,1.0,1.5,2026-03-01,analyst15__fc1437,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst37,Japan Analyst Estimate Data,Analyst,119,0.2897,0.9507,4.0,1.5,2026-03-01,analyst37__fc119,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst39,Analyst estimates & financial ratios,Analyst,41,0.8621,1.0,2.0,1.5,2025-11-01,analyst39__fc41,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst4,Analyst Estimate Data for Equity,Analyst,278,0.5734,1.0,1.0,1.5,2026-03-01,analyst4__fc278,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst45,Analyst Trade Ideas,Analyst,241,0.368,1.0,4.0,1.5,2025-10-01,analyst45__fc241,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst69,Fundamental Analyst Estimates,Analyst,938,0.7496,1.0,1.0,1.5,2026-03-01,analyst69__fc938,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst72,Corporate Earning Estimates Data,Analyst,45,0.3362,0.9507,6.0,1.5,2026-03-01,analyst72__fc45,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst9,Analyst Estimate Daily Data,Analyst,50,0.6431,0.9507,3.0,1.5,2025-11-01,analyst9__fc50,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst_base_ref,Analyst Estimates Base Reference,Analyst,14,0.7328,0.9507,5.0,1.5,2026-03-01,analyst_base_ref__fc14,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,2372,0.6397,1.0,6.0,1.5,2026-03-01,analyst_consensus__fc2372,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,28,1.0,0.9507,5.0,1.3,2026-03-01,analyst_earnings_ibes__fc28,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst_factor_signals,Global Analyst Factor Signals,Analyst,59,0.5252,0.9507,5.0,1.5,2026-03-01,analyst_factor_signals__fc59,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,analyst_revision_horizons,Multi Horizon Analyst Revision Signals,Model,1026,0.7075,1.0,7.0,1.3,2026-03-01,analyst_revision_horizons__fc1026,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,behavioral_signals,Behavioral Finance Signal Factors,Model,7,0.8754,0.9507,7.0,1.3,2026-03-01,behavioral_signals__fc7,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,broker1,user predictions from Minkabu,Broker,5,0.3313,0.9507,3.0,1.1,2024-07-01,broker1__fc5,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,chart_cnn_alpha,Deep Learning Chart-Based Alpha,Model,1010,0.953,1.0,6.0,1.3,2026-03-01,chart_cnn_alpha__fc1010,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,continuation_score,Price Chart Continuation Pattern Similarity,Price Volume,560,1.0,1.0,5.0,1.0,2026-03-01,continuation_score__fc560,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,corporate_news_index,Timely Corporate News Index,Other,4,0.3456,0.4096,10.0,1.5,2026-03-01,corporate_news_index__fc4,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,dl_riskfree_returns,Deep Learning Risk Free Returns,Other,57,1.0,0.9507,4.0,1.5,2026-03-01,dl_riskfree_returns__fc57,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,earnings3,Earnings Date Data,Earnings,8,0.7787,0.9507,1.0,1.1,2022-10-01,earnings3__fc8,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,earnings6,International Findings Data,Earnings,20,0.3132,0.6621,2.0,1.1,2025-11-01,earnings6__fc20,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,equity_forum_data,International Equity Forum Activity,Other,8,0.4077,0.9507,10.0,1.5,2026-03-01,equity_forum_data__fc8,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,event_relation,Text-Based Event Relationship Analysis,Other,6,0.3535,0.9507,7.0,1.5,2026-04-01,event_relation__fc6,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,event_stock_model,Corporate Event Driven Stock Model,Model,3,0.8444,0.9507,5.0,1.3,2026-03-01,event_stock_model__fc3,OFFICIAL_DATASET_FIELDCOUNT_GROUP
