dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.9961,0.9507,7.0,1.9,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_equity_alpha,AI Equity Alpha Forecasts,Model,582,0.9792,0.9507,7.0,1.7,2026-02-01,ai_equity_alpha__fc582,reports/data_fields/all_scopes/variants/ai_equity_alpha__fc582.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,1052,0.6371,1.0,4.0,1.8,2026-04-01,analyst10__fc1052,reports/data_fields/all_scopes/variants/analyst10__fc1052.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,126,0.5079,0.9507,9.0,1.8,2025-11-01,analyst11__fc126,reports/data_fields/all_scopes/variants/analyst11__fc126.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,308,0.5,1.0,3.0,1.8,2022-07-01,analyst14__fc308,reports/data_fields/all_scopes/variants/analyst14__fc308.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,60,1.0,0.9507,6.0,1.8,2025-10-01,analyst45__fc60,reports/data_fields/all_scopes/variants/analyst45__fc60.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst69,Fundamental Analyst Estimates,Analyst,1021,0.5925,1.0,3.0,1.8,2026-03-01,analyst69__fc1021,reports/data_fields/all_scopes/variants/analyst69__fc1021.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,7,0.8496,0.9507,6.0,1.8,2026-03-01,analyst_base_ref__fc7,reports/data_fields/all_scopes/variants/analyst_base_ref__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,28,0.9947,0.9507,6.0,1.7,2026-03-01,analyst_earnings_ibes__fc28,reports/data_fields/all_scopes/variants/analyst_earnings_ibes__fc28.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
behavioral_signals,Behavioral Finance Signal Factors,Model,7,0.3133,0.9507,10.0,1.7,2026-03-01,behavioral_signals__fc7,reports/data_fields/all_scopes/variants/behavioral_signals__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
china_funda_data,China Equity Fundamentals Data,Fundamental,613,0.7305,0.9507,,1.8,2026-03-01,china_funda_data__fc613,reports/data_fields/all_scopes/variants/china_funda_data__fc613.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
china_index_model,China Equity Index Constituents,Macro,30,0.3388,0.81,9.0,1.8,2026-03-01,china_index_model__fc30,reports/data_fields/all_scopes/variants/china_index_model__fc30.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
china_stock_funda,China Stock Market Fundamentals,Other,4973,0.7361,0.9507,10.0,1.9,2026-03-01,china_stock_funda__fc4973,reports/data_fields/all_scopes/variants/china_stock_funda__fc4973.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
cn_stock_sentiment,China Stock Social Sentiment Scores,Other,49,0.7101,0.6281,6.0,1.9,2026-03-01,cn_stock_sentiment__fc49,reports/data_fields/all_scopes/variants/cn_stock_sentiment__fc49.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
