dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.7486,0.9507,6.0,1.7,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,0.7923,0.9001,6.0,1.7,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,1159,0.7876,1.0,2.0,1.6,2026-04-01,analyst10__fc1159,reports/data_fields/all_scopes/variants/analyst10__fc1159.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,218,0.8638,1.0,3.0,1.6,2025-11-01,analyst11__fc218,reports/data_fields/all_scopes/variants/analyst11__fc218.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,107,0.836,1.0,2.0,1.6,2026-03-01,analyst16__fc107,reports/data_fields/all_scopes/variants/analyst16__fc107.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,71,0.634,1.0,1.0,1.6,2026-03-01,analyst4__fc71,reports/data_fields/all_scopes/variants/analyst4__fc71.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,61,0.4949,0.9507,2.0,1.6,2025-10-01,analyst45__fc61,reports/data_fields/all_scopes/variants/analyst45__fc61.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst8,Daily Split Data,Analyst,5,0.9287,0.9507,2.0,1.6,2022-07-01,analyst8__fc5,reports/data_fields/all_scopes/variants/analyst8__fc5.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst82,Analyst estimate prediction data,Analyst,26,0.7247,,3.0,1.6,2024-10-01,analyst82__fc26,reports/data_fields/all_scopes/variants/analyst82__fc26.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,4,0.8318,0.9507,5.0,1.6,2026-03-01,analyst_base_ref__fc4,reports/data_fields/all_scopes/variants/analyst_base_ref__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
