dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.7484,0.9507,6.0,1.6,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_equity_alpha,AI Equity Alpha Forecasts,Model,582,0.8601,0.9507,6.0,1.4,2026-02-01,ai_equity_alpha__fc582,reports/data_fields/all_scopes/variants/ai_equity_alpha__fc582.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,1.0,0.9507,5.0,1.4,2026-03-01,ai_factor_transfer__fc20,reports/data_fields/all_scopes/variants/ai_factor_transfer__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,0.7924,0.9001,6.0,1.6,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,659,0.9308,1.0,2.0,1.4,2026-04-01,analyst10__fc659,reports/data_fields/all_scopes/variants/analyst10__fc659.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,445,0.8487,1.0,3.0,1.4,2025-11-01,analyst11__fc445,reports/data_fields/all_scopes/variants/analyst11__fc445.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,15,0.5,1.0,1.0,1.4,2022-05-01,analyst14__fc15,reports/data_fields/all_scopes/variants/analyst14__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst15,Earnings forecasts,Analyst,1744,0.511,1.0,2.0,1.4,2026-03-01,analyst15__fc1744,reports/data_fields/all_scopes/variants/analyst15__fc1744.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,114,0.8508,1.0,2.0,1.4,2026-03-01,analyst16__fc114,reports/data_fields/all_scopes/variants/analyst16__fc114.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst35,ESG Model,Analyst,23,0.7582,0.9507,4.0,1.4,2022-10-01,analyst35__fc23,reports/data_fields/all_scopes/variants/analyst35__fc23.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,699,0.694,1.0,1.0,1.4,2026-03-01,analyst4__fc699,reports/data_fields/all_scopes/variants/analyst4__fc699.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,61,1.0,0.9507,2.0,1.4,2025-10-01,analyst45__fc61,reports/data_fields/all_scopes/variants/analyst45__fc61.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst69,Fundamental Analyst Estimates,Analyst,791,0.6459,1.0,1.0,1.4,2026-03-01,analyst69__fc791,reports/data_fields/all_scopes/variants/analyst69__fc791.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst7,Broker Estimates,Analyst,1111,0.5,1.0,1.0,1.4,2022-09-01,analyst7__fc1111,reports/data_fields/all_scopes/variants/analyst7__fc1111.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst8,Daily Split Data,Analyst,18,0.8828,1.0,2.0,1.4,2026-03-01,analyst8__fc18,reports/data_fields/all_scopes/variants/analyst8__fc18.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst82,Analyst estimate prediction data,Analyst,42,0.8044,,3.0,1.4,2024-10-01,analyst82__fc42,reports/data_fields/all_scopes/variants/analyst82__fc42.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,17,0.5523,1.0,5.0,1.4,2026-03-01,analyst_base_ref__fc17,reports/data_fields/all_scopes/variants/analyst_base_ref__fc17.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,1929,0.7027,1.0,5.0,1.4,2026-03-01,analyst_consensus__fc1929,reports/data_fields/all_scopes/variants/analyst_consensus__fc1929.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,42,0.9976,0.9507,6.0,1.4,2026-03-01,analyst_earnings_ibes__fc42,reports/data_fields/all_scopes/variants/analyst_earnings_ibes__fc42.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_factor_signals,Global Analyst Factor Signals,Analyst,108,0.5458,0.9507,5.0,1.4,2026-03-01,analyst_factor_signals__fc108,reports/data_fields/all_scopes/variants/analyst_factor_signals__fc108.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_revision_horizons,Multi Horizon Analyst Revision Signals,Model,1089,0.6885,1.0,7.0,1.4,2026-03-01,analyst_revision_horizons__fc1089,reports/data_fields/all_scopes/variants/analyst_revision_horizons__fc1089.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
behavioral_signals,Behavioral Finance Signal Factors,Model,7,0.557,0.9507,7.0,1.4,2026-03-01,behavioral_signals__fc7,reports/data_fields/all_scopes/variants/behavioral_signals__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
chart_cnn_alpha,Deep Learning Chart-Based Alpha,Model,122,0.6916,1.0,6.0,1.4,2026-03-01,chart_cnn_alpha__fc122,reports/data_fields/all_scopes/variants/chart_cnn_alpha__fc122.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
