dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,1.0,0.9507,4.0,1.4,2026-03-01,ai_factor_transfer__fc20,reports/data_fields/all_scopes/variants/ai_factor_transfer__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,0.7032,0.7256,6.0,1.5,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,174,0.9503,1.0,2.0,1.5,2024-07-01,analyst10__fc174,reports/data_fields/all_scopes/variants/analyst10__fc174.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,235,0.7405,1.0,2.0,1.5,2025-11-01,analyst11__fc235,reports/data_fields/all_scopes/variants/analyst11__fc235.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,925,0.5,1.0,2.0,1.5,2022-05-01,analyst14__fc925,reports/data_fields/all_scopes/variants/analyst14__fc925.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst15,Earnings forecasts,Analyst,307,0.9367,1.0,1.0,1.5,2026-03-01,analyst15__fc307,reports/data_fields/all_scopes/variants/analyst15__fc307.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,111,0.7843,1.0,2.0,1.5,2026-03-01,analyst16__fc111,reports/data_fields/all_scopes/variants/analyst16__fc111.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst35,ESG Model,Analyst,23,0.6915,1.0,3.0,1.5,2023-09-01,analyst35__fc23,reports/data_fields/all_scopes/variants/analyst35__fc23.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst40,Information on board of director,Analyst,12,0.292,1.0,4.0,1.5,2026-03-01,analyst40__fc12,reports/data_fields/all_scopes/variants/analyst40__fc12.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,57,0.539,0.9507,3.0,1.5,2025-10-01,analyst45__fc57,reports/data_fields/all_scopes/variants/analyst45__fc57.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst69,Fundamental Analyst Estimates,Analyst,779,0.8472,1.0,1.0,1.5,2026-03-01,analyst69__fc779,reports/data_fields/all_scopes/variants/analyst69__fc779.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,4,0.7695,0.9507,4.0,1.5,2026-03-01,analyst_base_ref__fc4,reports/data_fields/all_scopes/variants/analyst_base_ref__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,1607,0.7222,1.0,5.0,1.5,2026-03-01,analyst_consensus__fc1607,reports/data_fields/all_scopes/variants/analyst_consensus__fc1607.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,28,0.9974,0.9507,2.0,1.4,2026-03-01,analyst_earnings_ibes__fc28,reports/data_fields/all_scopes/variants/analyst_earnings_ibes__fc28.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_factor_signals,Global Analyst Factor Signals,Analyst,328,0.6046,1.0,4.0,1.5,2026-03-01,analyst_factor_signals__fc328,reports/data_fields/all_scopes/variants/analyst_factor_signals__fc328.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_revision_horizons,Multi Horizon Analyst Revision Signals,Model,1095,0.7561,0.9507,6.0,1.4,2026-03-01,analyst_revision_horizons__fc1095,reports/data_fields/all_scopes/variants/analyst_revision_horizons__fc1095.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
chart_cnn_alpha,Deep Learning Chart-Based Alpha,Model,1041,0.9361,1.0,5.0,1.4,2026-03-01,chart_cnn_alpha__fc1041,reports/data_fields/all_scopes/variants/chart_cnn_alpha__fc1041.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
dl_riskfree_returns,Deep Learning Risk Free Returns,Other,57,0.9711,0.9507,2.0,1.5,2026-03-01,dl_riskfree_returns__fc57,reports/data_fields/all_scopes/variants/dl_riskfree_returns__fc57.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings3,Earnings Date Data,Earnings,8,0.8597,0.9507,1.0,1.1,2025-11-01,earnings3__fc8,reports/data_fields/all_scopes/variants/earnings3__fc8.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings5,Earnings Date Breaks,Earnings,5,0.3404,0.9507,1.0,1.1,2026-04-01,earnings5__fc5,reports/data_fields/all_scopes/variants/earnings5__fc5.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings6,International Findings Data,Earnings,16,0.3328,0.6366,2.0,1.1,2025-11-01,earnings6__fc16,reports/data_fields/all_scopes/variants/earnings6__fc16.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings7,Horizon Earnings and Calendar North America,Earnings,8,0.3893,0.9507,2.0,1.1,2025-11-01,earnings7__fc8,reports/data_fields/all_scopes/variants/earnings7__fc8.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings_sent_matrix,Global Earnings Call Sentiment Matrix,Earnings,7,0.3876,1.0,4.0,1.1,2026-03-01,earnings_sent_matrix__fc7,reports/data_fields/all_scopes/variants/earnings_sent_matrix__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
event_relation,Text-Based Event Relationship Analysis,Other,12,0.5199,0.9507,6.0,1.5,2026-04-01,event_relation__fc12,reports/data_fields/all_scopes/variants/event_relation__fc12.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
event_sentiment_signals,Corporate Event Sentiment Signals,Other,4,0.4814,0.9507,7.0,1.5,2026-03-01,event_sentiment_signals__fc4,reports/data_fields/all_scopes/variants/event_sentiment_signals__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
finnews_nlp_scores,Transformer Based Financial News Scores,Other,105,0.4621,0.9003,7.0,1.5,2026-03-01,finnews_nlp_scores__fc105,reports/data_fields/all_scopes/variants/finnews_nlp_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental1,Management and Executive Data,Fundamental,101,0.2815,1.0,4.0,1.5,2026-03-01,fundamental1__fc101,reports/data_fields/all_scopes/variants/fundamental1__fc101.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental17,Direct Fundamental Data,Fundamental,895,0.7441,1.0,1.0,1.5,2025-11-01,fundamental17__fc895,reports/data_fields/all_scopes/variants/fundamental17__fc895.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental22,Environmental and Social Governance Data,Fundamental,6,0.6134,0.9507,3.0,1.5,2025-10-01,fundamental22__fc6,reports/data_fields/all_scopes/variants/fundamental22__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental23,Fundamental Point in Time Data,Fundamental,1748,0.6797,1.0,2.0,1.5,2025-11-01,fundamental23__fc1748,reports/data_fields/all_scopes/variants/fundamental23__fc1748.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental25,Company Operating Metrics,Fundamental,4,0.1504,0.9507,4.0,1.5,2025-10-01,fundamental25__fc4,reports/data_fields/all_scopes/variants/fundamental25__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental28,Global Fundamental Data,Fundamental,929,0.5,1.0,1.0,1.5,2022-05-01,fundamental28__fc929,reports/data_fields/all_scopes/variants/fundamental28__fc929.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental31,Additional Factor Model,Fundamental,137,0.5245,1.0,2.0,1.5,2026-04-01,fundamental31__fc137,reports/data_fields/all_scopes/variants/fundamental31__fc137.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental44,Accounting Quality Models,Fundamental,12,0.8191,0.9507,2.0,1.5,2023-09-01,fundamental44__fc12,reports/data_fields/all_scopes/variants/fundamental44__fc12.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental6,Company Fundamental Data for Equity,Fundamental,197,0.5,1.0,1.0,1.5,2022-05-01,fundamental6__fc197,reports/data_fields/all_scopes/variants/fundamental6__fc197.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental7,Comprehensive Fundamentals Data,Fundamental,109,0.3463,0.9507,3.0,1.5,2026-03-01,fundamental7__fc109,reports/data_fields/all_scopes/variants/fundamental7__fc109.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental72,Comprehensive Fundamental Data,Fundamental,896,0.572,1.0,2.0,1.5,2026-03-01,fundamental72__fc896,reports/data_fields/all_scopes/variants/fundamental72__fc896.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
global_seasonal_model,Global Seasonal Regime Return Signals,Model,690,0.988,1.0,5.0,1.4,2026-04-01,global_seasonal_model__fc690,reports/data_fields/all_scopes/variants/global_seasonal_model__fc690.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
hiring_trends,Global Corporate Hiring Trends,Other,3,0.6039,0.5249,6.0,1.5,2026-03-01,hiring_trends__fc3,reports/data_fields/all_scopes/variants/hiring_trends__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,17,0.4904,0.9507,4.0,1.5,2026-03-01,insider_agg_matrix__fc17,reports/data_fields/all_scopes/variants/insider_agg_matrix__fc17.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
institutions18,Ownership Model Data,Institutions,6,0.9547,0.9507,3.0,1.2,2026-03-01,institutions18__fc6,reports/data_fields/all_scopes/variants/institutions18__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
