dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.965,0.9507,5.0,1.5,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,0.9684,0.9507,3.0,1.3,2026-03-01,ai_factor_transfer__fc20,reports/data_fields/all_scopes/variants/ai_factor_transfer__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,0.693,0.9255,6.0,1.5,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,210,0.552,0.9507,3.0,1.5,2025-11-01,analyst11__fc210,reports/data_fields/all_scopes/variants/analyst11__fc210.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst39,Analyst estimates & financial ratios,Analyst,35,0.8445,0.9507,2.0,1.5,2025-11-01,analyst39__fc35,reports/data_fields/all_scopes/variants/analyst39__fc35.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,247,0.7819,1.0,1.0,1.5,2026-03-01,analyst4__fc247,reports/data_fields/all_scopes/variants/analyst4__fc247.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst44,Integrated Broker Estimates,Analyst,546,0.8343,1.0,2.0,1.5,2025-11-01,analyst44__fc546,reports/data_fields/all_scopes/variants/analyst44__fc546.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,241,0.8588,0.9507,3.0,1.5,2025-10-01,analyst45__fc241,reports/data_fields/all_scopes/variants/analyst45__fc241.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst46,Analyst Investment insight Data,Analyst,6,0.585,0.9507,2.0,1.5,2025-10-01,analyst46__fc6,reports/data_fields/all_scopes/variants/analyst46__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst48,Dividend estimation data,Analyst,72,0.3675,0.9507,2.0,1.5,2025-10-01,analyst48__fc72,reports/data_fields/all_scopes/variants/analyst48__fc72.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst81,Creditworthiness model,Analyst,5,0.265,1.0,3.0,1.5,2025-10-01,analyst81__fc5,reports/data_fields/all_scopes/variants/analyst81__fc5.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst83,Smart Conference call transcript data,Analyst,384,0.287,0.9507,4.0,1.5,2025-10-01,analyst83__fc384,reports/data_fields/all_scopes/variants/analyst83__fc384.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst9,Analyst Estimate Daily Data,Analyst,46,0.7158,0.9507,2.0,1.5,2025-11-01,analyst9__fc46,reports/data_fields/all_scopes/variants/analyst9__fc46.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,14,0.8069,0.9507,4.0,1.5,2026-03-01,analyst_base_ref__fc14,reports/data_fields/all_scopes/variants/analyst_base_ref__fc14.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,2351,0.761,1.0,4.0,1.5,2026-03-01,analyst_consensus__fc2351,reports/data_fields/all_scopes/variants/analyst_consensus__fc2351.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,28,0.9965,0.9507,3.0,1.3,2026-03-01,analyst_earnings_ibes__fc28,reports/data_fields/all_scopes/variants/analyst_earnings_ibes__fc28.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_factor_signals,Global Analyst Factor Signals,Analyst,58,0.6109,0.9507,3.0,1.5,2026-03-01,analyst_factor_signals__fc58,reports/data_fields/all_scopes/variants/analyst_factor_signals__fc58.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_revision_horizons,Multi Horizon Analyst Revision Signals,Model,1026,0.7819,1.0,5.0,1.3,2026-03-01,analyst_revision_horizons__fc1026,reports/data_fields/all_scopes/variants/analyst_revision_horizons__fc1026.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
behavioral_signals,Behavioral Finance Signal Factors,Model,7,0.8336,0.9507,5.0,1.3,2026-03-01,behavioral_signals__fc7,reports/data_fields/all_scopes/variants/behavioral_signals__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings11,Earnings Call Transcript Data,Earnings,35,0.4992,1.0,2.0,1.2,2025-10-01,earnings11__fc35,reports/data_fields/all_scopes/variants/earnings11__fc35.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings3,Earnings Date Data,Earnings,8,0.7907,0.9507,1.0,1.2,2025-11-01,earnings3__fc8,reports/data_fields/all_scopes/variants/earnings3__fc8.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
earnings6,International Findings Data,Earnings,20,0.3567,0.6621,2.0,1.2,2025-11-01,earnings6__fc20,reports/data_fields/all_scopes/variants/earnings6__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
event_relation,Text-Based Event Relationship Analysis,Other,3,0.4236,0.9507,6.0,1.5,2026-04-01,event_relation__fc3,reports/data_fields/all_scopes/variants/event_relation__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental1,Management and Executive Data,Fundamental,118,0.5626,0.9507,4.0,1.3,2025-10-01,fundamental1__fc118,reports/data_fields/all_scopes/variants/fundamental1__fc118.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental17,Direct Fundamental Data,Fundamental,350,0.8661,0.9507,1.0,1.3,2025-11-01,fundamental17__fc350,reports/data_fields/all_scopes/variants/fundamental17__fc350.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
