dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.984,0.9507,7.0,1.8,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_equity_alpha,AI Equity Alpha Forecasts,Model,582,0.9909,0.9507,7.0,1.8,2026-02-01,ai_equity_alpha__fc582,reports/data_fields/all_scopes/variants/ai_equity_alpha__fc582.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,1.0,0.9507,6.0,1.8,2026-03-01,ai_factor_transfer__fc20,reports/data_fields/all_scopes/variants/ai_factor_transfer__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,0.4822,0.9255,8.0,1.8,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,560,0.703,1.0,5.0,1.8,2026-04-01,analyst10__fc560,reports/data_fields/all_scopes/variants/analyst10__fc560.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,210,0.6819,0.9507,7.0,1.8,2025-11-01,analyst11__fc210,reports/data_fields/all_scopes/variants/analyst11__fc210.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,167,0.5,1.0,3.0,1.8,2024-06-01,analyst14__fc167,reports/data_fields/all_scopes/variants/analyst14__fc167.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst15,Earnings forecasts,Analyst,1437,0.8876,1.0,2.0,1.8,2026-03-01,analyst15__fc1437,reports/data_fields/all_scopes/variants/analyst15__fc1437.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,109,0.8246,1.0,5.0,1.8,2026-03-01,analyst16__fc109,reports/data_fields/all_scopes/variants/analyst16__fc109.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst37,Japan Analyst Estimate Data,Analyst,133,0.8153,0.9507,3.0,1.8,2026-03-01,analyst37__fc133,reports/data_fields/all_scopes/variants/analyst37__fc133.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst39,Analyst estimates & financial ratios,Analyst,45,0.8622,0.9507,4.0,1.8,2025-11-01,analyst39__fc45,reports/data_fields/all_scopes/variants/analyst39__fc45.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,248,0.6981,1.0,3.0,1.8,2026-03-01,analyst4__fc248,reports/data_fields/all_scopes/variants/analyst4__fc248.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
