dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.9066,0.9507,6.0,1.8,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,1.0,0.9001,6.0,1.8,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,1730,0.7661,1.0,3.0,1.8,2026-04-01,analyst10__fc1730,reports/data_fields/all_scopes/variants/analyst10__fc1730.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,218,0.8007,1.0,2.0,1.8,2025-11-01,analyst11__fc218,reports/data_fields/all_scopes/variants/analyst11__fc218.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,435,0.5,1.0,1.0,1.8,2022-05-01,analyst14__fc435,reports/data_fields/all_scopes/variants/analyst14__fc435.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,88,0.7981,1.0,2.0,1.8,2026-03-01,analyst16__fc88,reports/data_fields/all_scopes/variants/analyst16__fc88.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst2,Analysts Estimates of Key Fundamentals,Analyst,29,0.5659,1.0,3.0,1.8,2026-03-01,analyst2__fc29,reports/data_fields/all_scopes/variants/analyst2__fc29.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst34,Dividend forecasts model,Analyst,3,0.6456,,3.0,1.8,2022-10-01,analyst34__fc3,reports/data_fields/all_scopes/variants/analyst34__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,113,0.666,1.0,1.0,1.8,2026-03-01,analyst4__fc113,reports/data_fields/all_scopes/variants/analyst4__fc113.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,61,0.5336,1.0,3.0,1.8,2025-10-01,analyst45__fc61,reports/data_fields/all_scopes/variants/analyst45__fc61.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
