dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
acquisition_model,Corporate Acquisition Likelihood Model,Other,15,0.9063,0.9507,6.0,1.5,2026-03-01,acquisition_model__fc15,reports/data_fields/all_scopes/variants/acquisition_model__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_equity_alpha,AI Equity Alpha Forecasts,Model,1108,0.9049,0.9507,5.0,1.4,2026-02-01,ai_equity_alpha__fc1108,reports/data_fields/all_scopes/variants/ai_equity_alpha__fc1108.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,20,1.0,0.9507,5.0,1.4,2026-03-01,ai_factor_transfer__fc20,reports/data_fields/all_scopes/variants/ai_factor_transfer__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
ai_news_scores,AI News Sentiment Scores,Other,105,1.0,0.9001,6.0,1.5,2026-03-01,ai_news_scores__fc105,reports/data_fields/all_scopes/variants/ai_news_scores__fc105.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst10,Performance-Weighted Analyst Estimates,Analyst,2258,0.8069,1.0,3.0,1.2,2026-04-01,analyst10__fc2258,reports/data_fields/all_scopes/variants/analyst10__fc2258.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst11,ESG scores,Analyst,445,0.7767,1.0,2.0,1.2,2025-11-01,analyst11__fc445,reports/data_fields/all_scopes/variants/analyst11__fc445.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,868,0.5,1.0,1.0,1.2,2023-09-01,analyst14__fc868,reports/data_fields/all_scopes/variants/analyst14__fc868.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst15,Earnings forecasts,Analyst,2567,0.9944,1.0,1.0,1.2,2026-03-01,analyst15__fc2567,reports/data_fields/all_scopes/variants/analyst15__fc2567.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,162,0.7602,1.0,2.0,1.2,2026-03-01,analyst16__fc162,reports/data_fields/all_scopes/variants/analyst16__fc162.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst2,Analysts Estimates of Key Fundamentals,Analyst,29,0.5659,1.0,3.0,1.2,2026-03-01,analyst2__fc29,reports/data_fields/all_scopes/variants/analyst2__fc29.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst21,Indicators of Interest Data,Analyst,16,0.9588,0.9006,3.0,1.2,2022-07-01,analyst21__fc16,reports/data_fields/all_scopes/variants/analyst21__fc16.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst34,Dividend forecasts model,Analyst,6,0.9595,0.9507,3.0,1.2,2026-03-01,analyst34__fc6,reports/data_fields/all_scopes/variants/analyst34__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,1324,0.7263,1.0,1.0,1.2,2026-03-01,analyst4__fc1324,reports/data_fields/all_scopes/variants/analyst4__fc1324.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst44,Integrated Broker Estimates,Analyst,797,0.7743,1.0,3.0,1.2,2025-11-01,analyst44__fc797,reports/data_fields/all_scopes/variants/analyst44__fc797.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,181,0.3141,1.0,3.0,1.2,2025-10-01,analyst45__fc181,reports/data_fields/all_scopes/variants/analyst45__fc181.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst46,Analyst Investment insight Data,Analyst,6,0.6391,0.9507,3.0,1.2,2025-10-01,analyst46__fc6,reports/data_fields/all_scopes/variants/analyst46__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst49,Analyst Estimation Data,Analyst,324,0.5169,0.9507,3.0,1.2,2026-03-01,analyst49__fc324,reports/data_fields/all_scopes/variants/analyst49__fc324.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst69,Fundamental Analyst Estimates,Analyst,646,0.9342,1.0,1.0,1.2,2026-03-01,analyst69__fc646,reports/data_fields/all_scopes/variants/analyst69__fc646.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst7,Broker Estimates,Analyst,1317,0.5,1.0,1.0,1.2,2022-05-01,analyst7__fc1317,reports/data_fields/all_scopes/variants/analyst7__fc1317.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst82,Analyst estimate prediction data,Analyst,252,0.7359,0.9507,2.0,1.2,2024-12-01,analyst82__fc252,reports/data_fields/all_scopes/variants/analyst82__fc252.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst83,Smart Conference call transcript data,Analyst,383,0.5299,0.9507,3.0,1.2,2025-10-01,analyst83__fc383,reports/data_fields/all_scopes/variants/analyst83__fc383.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst92,"Linear, nonlinear, and region-specific models",Analyst,17,0.2968,0.9507,4.0,1.2,2024-12-01,analyst92__fc17,reports/data_fields/all_scopes/variants/analyst92__fc17.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,28,0.6791,0.9507,5.0,1.2,2026-03-01,analyst_base_ref__fc28,reports/data_fields/all_scopes/variants/analyst_base_ref__fc28.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_chart_cnn,Deep Learning Analyst Chart Signals,Model,367,0.9362,0.9507,4.0,1.4,2026-03-01,analyst_chart_cnn__fc367,reports/data_fields/all_scopes/variants/analyst_chart_cnn__fc367.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,3424,0.7733,1.0,5.0,1.2,2026-03-01,analyst_consensus__fc3424,reports/data_fields/all_scopes/variants/analyst_consensus__fc3424.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,42,0.9991,1.0,5.0,1.4,2026-03-01,analyst_earnings_ibes__fc42,reports/data_fields/all_scopes/variants/analyst_earnings_ibes__fc42.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_factor_signals,Global Analyst Factor Signals,Analyst,922,0.66,1.0,5.0,1.2,2026-03-01,analyst_factor_signals__fc922,reports/data_fields/all_scopes/variants/analyst_factor_signals__fc922.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_revision_horizons,Multi Horizon Analyst Revision Signals,Model,1095,0.941,0.9507,7.0,1.4,2026-03-01,analyst_revision_horizons__fc1095,reports/data_fields/all_scopes/variants/analyst_revision_horizons__fc1095.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
behavioral_signals,Behavioral Finance Signal Factors,Model,7,0.8666,0.9507,6.0,1.4,2026-03-01,behavioral_signals__fc7,reports/data_fields/all_scopes/variants/behavioral_signals__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
biasfree_analyst,Bias Adjusted Analyst Forecasts,Analyst,54,0.8761,0.9507,3.0,1.2,2026-03-01,biasfree_analyst__fc54,reports/data_fields/all_scopes/variants/biasfree_analyst__fc54.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
board_gov_stats,US Board Governance and Leadership Metrics,Insiders,46,0.9197,1.0,5.0,1.1,2026-04-01,board_gov_stats__fc46,reports/data_fields/all_scopes/variants/board_gov_stats__fc46.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
board_network,Board Member Network Analysis,Model,17,0.7887,0.9507,7.0,1.4,2026-03-01,board_network__fc17,reports/data_fields/all_scopes/variants/board_network__fc17.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
chart_cnn_alpha,Deep Learning Chart-Based Alpha,Model,403,0.9848,1.0,6.0,1.4,2026-03-01,chart_cnn_alpha__fc403,reports/data_fields/all_scopes/variants/chart_cnn_alpha__fc403.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,281,0.9325,0.9507,5.0,1.1,2026-03-01,chart_model_alpha__fc281,reports/data_fields/all_scopes/variants/chart_model_alpha__fc281.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,248,1.0,0.9507,5.0,1.1,2026-03-01,chart_return_model__fc248,reports/data_fields/all_scopes/variants/chart_return_model__fc248.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
continuation_score,Price Chart Continuation Pattern Similarity,Price Volume,560,0.9939,1.0,6.0,1.1,2026-03-01,continuation_score__fc560,reports/data_fields/all_scopes/variants/continuation_score__fc560.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
