scope_key,region,delay,universe,dataset_count,dataset_field_count_sum,status,source
ASI_D1_ILLIQUID_MINVOL1M,ASI,1,ILLIQUID_MINVOL1M,155,23173,AVAILABLE,GET /data-sets + OPTIONS /simulations
ASI_D1_MINVOL10M,ASI,1,MINVOL10M,161,24937,AVAILABLE,GET /data-sets + OPTIONS /simulations
ASI_D1_MINVOL1M,ASI,1,MINVOL1M,161,24937,AVAILABLE,GET /data-sets + OPTIONS /simulations
ASI_D1_TOP500,ASI,1,TOP500,161,24937,AVAILABLE,GET /data-sets + OPTIONS /simulations
CHN_D0_TOP2000U,CHN,0,TOP2000U,28,3229,AVAILABLE,GET /data-sets + OPTIONS /simulations
CHN_D1_TOP2000U,CHN,1,TOP2000U,75,17013,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_ILLIQUID_MINVOL1M,EUR,0,ILLIQUID_MINVOL1M,76,5861,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_TOP1200,EUR,0,TOP1200,78,6485,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_TOP2500,EUR,0,TOP2500,78,6485,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_TOP400,EUR,0,TOP400,78,6485,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_TOP800,EUR,0,TOP800,78,6485,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D0_TOPCS1600,EUR,0,TOPCS1600,78,6485,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_ILLIQUID_MINVOL1M,EUR,1,ILLIQUID_MINVOL1M,177,34396,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_TOP1200,EUR,1,TOP1200,178,36797,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_TOP2500,EUR,1,TOP2500,178,36797,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_TOP400,EUR,1,TOP400,178,36797,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_TOP800,EUR,1,TOP800,178,36797,AVAILABLE,GET /data-sets + OPTIONS /simulations
EUR_D1_TOPCS1600,EUR,1,TOPCS1600,178,36797,AVAILABLE,GET /data-sets + OPTIONS /simulations
GLB_D1_MINVOL10M,GLB,1,MINVOL10M,138,28333,AVAILABLE,GET /data-sets + OPTIONS /simulations
GLB_D1_MINVOL1M,GLB,1,MINVOL1M,138,28333,AVAILABLE,GET /data-sets + OPTIONS /simulations
GLB_D1_TOP3000,GLB,1,TOP3000,138,28333,AVAILABLE,GET /data-sets + OPTIONS /simulations
GLB_D1_TOPDIV3000,GLB,1,TOPDIV3000,138,28333,AVAILABLE,GET /data-sets + OPTIONS /simulations
IND_D1_TOP500,IND,1,TOP500,143,13264,AVAILABLE,GET /data-sets + OPTIONS /simulations
JPN_D0_TOP1200,JPN,0,TOP1200,64,2744,AVAILABLE,GET /data-sets + OPTIONS /simulations
JPN_D0_TOP1600,JPN,0,TOP1600,64,2744,AVAILABLE,GET /data-sets + OPTIONS /simulations
JPN_D1_TOP1200,JPN,1,TOP1200,213,30552,AVAILABLE,GET /data-sets + OPTIONS /simulations
JPN_D1_TOP1600,JPN,1,TOP1600,213,30552,AVAILABLE,GET /data-sets + OPTIONS /simulations
MEA_D1_TOP300,MEA,1,TOP300,16,2114,AVAILABLE,GET /data-sets + OPTIONS /simulations
MEA_D1_TOP400,MEA,1,TOP400,16,2114,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_ILLIQUID_MINVOL1M,USA,0,ILLIQUID_MINVOL1M,121,15073,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOP1000,USA,0,TOP1000,124,16986,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOP200,USA,0,TOP200,124,16986,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOP2000,USA,0,TOP2000,124,16986,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOP3000,USA,0,TOP3000,124,16986,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOP500,USA,0,TOP500,124,16986,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D0_TOPSP500,USA,0,TOPSP500,124,16938,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_ILLIQUID_MINVOL1M,USA,1,ILLIQUID_MINVOL1M,295,81132,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOP1000,USA,1,TOP1000,299,85612,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOP200,USA,1,TOP200,299,85612,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOP2000,USA,1,TOP2000,299,85612,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOP3000,USA,1,TOP3000,299,85612,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOP500,USA,1,TOP500,299,85612,AVAILABLE,GET /data-sets + OPTIONS /simulations
USA_D1_TOPSP500,USA,1,TOPSP500,299,83967,AVAILABLE,GET /data-sets + OPTIONS /simulations
