dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
acquisition_model,Corporate Acquisition Likelihood Model,Other,country_percentile_acquisition_likelihood,country_percentile_acquisition_likelihood,"Percentile score of M&A target likelihood within the company’s headquarters country (100 = highest, 1 = lowest)",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model company corporate country country_percentile_acquisition_likelihood headquarters highest likelihood lowest model other percentile possible_direction score target unknown within
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_company_size_percentile_rank,global_company_size_percentile_rank,Percentile rank of the size component versus all companies globally; 100 = most favorable on size dimension,VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model all companies component corporate dimension favorable global_company_size_percentile_rank globally likelihood model most other percentile possible_direction rank size unknown versus
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_credit_quality_percentile_rank,global_credit_quality_percentile_rank,"Percentile rank of the model’s credit-based component versus all companies globally; 100 = strongest, 1 = weakest",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=quality,100 acquisition acquisition_model all based companies component corporate credit global_credit_quality_percentile_rank globally likelihood model other percentile possible_direction quality rank strongest versus weakest
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_fundamental_factor_percentile_rank,global_fundamental_factor_percentile_rank,"Percentile rank of the fundamentals component versus all companies globally; 100 = strongest, 1 = weakest",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=fundamental,100 acquisition acquisition_model all companies component corporate fundamental fundamentals global_fundamental_factor_percentile_rank globally likelihood model other percentile possible_direction rank strongest versus weakest
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_percentile_acquisition_likelihood,global_percentile_acquisition_likelihood,"Percentile score from the M&A Target Model versus all companies globally; 100 = highest target likelihood, 1 = lowest",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model all companies corporate from global_percentile_acquisition_likelihood globally highest likelihood lowest model other percentile possible_direction score target unknown versus
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_text_factor_percentile_rank,global_text_factor_percentile_rank,"Global percentile rank based on text/news-driven factors in the M&A Target model (100 = highest, 1 = lowest)",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=sentiment,100 acquisition acquisition_model based corporate driven factors global global_text_factor_percentile_rank highest likelihood lowest model news other percentile possible_direction rank sentiment target text
acquisition_model,Corporate Acquisition Likelihood Model,Other,global_valuation_percentile_rank,global_valuation_percentile_rank,"Percentile rank of the valuation component versus all companies globally; 100 = most favorable, 1 = least",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model all companies component corporate favorable global_valuation_percentile_rank globally least likelihood model most other percentile possible_direction rank unknown valuation versus
acquisition_model,Corporate Acquisition Likelihood Model,Other,industry_percentile_acquisition_likelihood,industry_percentile_acquisition_likelihood,"Percentile score from the M&A Target Model comparing the company to peers in the same Region+Industry; 100 = highest target likelihood, 1 = lowest",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model company comparing corporate from highest industry industry_percentile_acquisition_likelihood likelihood lowest model other peers percentile possible_direction region same score target unknown
acquisition_model,Corporate Acquisition Likelihood Model,Other,region_company_size_percentile_rank,region_company_size_percentile_rank,"Percentile rank for the Size component within the M&A Target region set (100 = highest/largest, 1 = lowest)",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=unknown,100 acquisition acquisition_model component corporate highest largest likelihood lowest model other percentile possible_direction rank region region_company_size_percentile_rank set size target unknown within
acquisition_model,Corporate Acquisition Likelihood Model,Other,region_credit_quality_percentile_rank,region_credit_quality_percentile_rank,Percentile rank (1–100) of credit-based factors within the region peer set; higher values indicate stronger credit profile,VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=quality,100 acquisition acquisition_model based corporate credit factors higher indicate likelihood model other peer percentile possible_direction profile quality rank region region_credit_quality_percentile_rank set stronger values within
acquisition_model,Corporate Acquisition Likelihood Model,Other,region_fundamental_factor_percentile_rank,region_fundamental_factor_percentile_rank,"Percentile rank of the fundamentals component versus companies in the same M&A region; 100 = strongest, 1 = weakest",VECTOR,USA,TOP3000,1,0.9063,,,2026-07-16T15:20:39,possible_direction=fundamental,100 acquisition acquisition_model companies component corporate fundamental fundamentals likelihood model other percentile possible_direction rank region region_fundamental_factor_percentile_rank same strongest versus weakest
