"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"analyst11","ESG scores","Analyst","anl11_1e","anl11_1e","Aggregate score for Pollution Prevention & Environmental Remediation for the company","MATRIX","USA","TOP3000","1","0.8356","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_1g","anl11_1g","Aggregate key performance indicator for board independence, diversity, and effectiveness","MATRIX","USA","TOP3000","1","0.8385","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_1pme","anl11_1pme","Aggregate key performance indicator measuring company’s Compensation and Employee Satisfaction","MATRIX","USA","TOP3000","1","0.8353","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_1tic","anl11_1tic","Aggregate key performance indicator for Community Engagement and Charitable Activities","MATRIX","USA","TOP3000","1","0.8337","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_1e","anl11_2_1e","Aggregate KPI for pollution prevention & environmental remediation","MATRIX","USA","TOP3000","1","0.6395","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_1g","anl11_2_1g","Aggregate KPI for Board Independence, Diversity, & Effectiveness","MATRIX","USA","TOP3000","1","0.6972","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_1pme","anl11_2_1pme","Aggregate KPI for Compensation & Employee Satisfaction","MATRIX","USA","TOP3000","1","0.713","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_1tic","anl11_2_1tic","Aggregate KPI for Community Engagement & Charitable Activities","MATRIX","USA","TOP3000","1","0.6847","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_2e","anl11_2_2e","Aggregate KPI for Anti-Pollution Policies & Environmental Transparency","MATRIX","USA","TOP3000","1","0.6176","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_2g","anl11_2_2g","Aggregate KPI for Management Standards & Ethics","MATRIX","USA","TOP3000","1","0.7296","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_2pme","anl11_2_2pme","Aggregate KPI for employee diversity treatment & labor rights","MATRIX","USA","TOP3000","1","0.7291","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_2tic","anl11_2_2tic","Aggregate KPI for Human Rights Activism, Supply Chain, Labor & Human Rights Policies","MATRIX","USA","TOP3000","1","0.7221","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_3e","anl11_2_3e","Aggregate KPI for Energy & Resource Efficiency","MATRIX","USA","TOP3000","1","0.6922","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_3g","anl11_2_3g","Aggregate KPI for Disclosure, Transparency, & Stakeholder Accountability","MATRIX","USA","TOP3000","1","0.7044","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_3pme","anl11_2_3pme","Aggregate KPI for Employee Continuing Education, Training, Work Conditions, Safety & Health","MATRIX","USA","TOP3000","1","0.6803","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_3tic","anl11_2_3tic","Aggregate KPI for Business Model & Products","MATRIX","USA","TOP3000","1","0.626","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_e","anl11_2_e","The E Score averages the E1, E2, and E3 scores.","MATRIX","USA","TOP3000","1","0.697","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_g","anl11_2_g","The G Score averages the G1, G2, and G3 scores.","MATRIX","USA","TOP3000","1","0.731","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_gse","anl11_2_gse","The ESG Score averages the E, S, and G scores.","MATRIX","USA","TOP3000","1","0.7335","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_pme","anl11_2_pme","The EMP score averages the three EMP scores.","MATRIX","USA","TOP3000","1","0.7319","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_region","anl11_2_region","Region of the world in which the company is headquartered","MATRIX","USA","TOP3000","1","0.7335","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2_tic","anl11_2_tic","The CIT Score averages the CIT1, CIT2, and CIT3 scores.","MATRIX","USA","TOP3000","1","0.7303","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2e","anl11_2e","Aggregate score for Anti-Pollution Policies & Environmental Transparency for the company","MATRIX","USA","TOP3000","1","0.8347","","","2026-07-16T15:20:39","possible_direction=analyst"
"analyst11","ESG scores","Analyst","anl11_2g","anl11_2g","Aggregate key performance indicator for management standards and ethics","MATRIX","USA","TOP3000","1","0.8418","","","2026-07-16T15:20:39","possible_direction=analyst"
