dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q1_mada,anl82_delta_ebtq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 ebitda,MATRIX,USA,TOP3000,1,0.6526,,,2026-07-16T15:20:39,possible_direction=analyst,absolute actual analyst analyst82 anl82_delta_ebtq_q1_mada data deviation ebitda estimate mean possible_direction prediction q1 scaled values
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q1_madp,anl82_delta_ebtq_q1_madp,Mean of absolute deviation of predicted values for Q1 ebitda,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,absolute analyst analyst82 anl82_delta_ebtq_q1_madp data deviation ebitda estimate mean possible_direction predicted prediction q1 values
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q1_mae,anl82_delta_ebtq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 ebitda,MATRIX,USA,TOP3000,1,0.6526,,,2026-07-16T15:20:39,possible_direction=analyst,absolute analyst analyst82 anl82_delta_ebtq_q1_mae data ebitda error estimate mean model particular possible_direction prediction q1 stock
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q1_predict,anl82_delta_ebtq_q1_predict,Predicted value of Q1 ebitda,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analyst82 anl82_delta_ebtq_q1_predict data ebitda estimate possible_direction predicted prediction q1 value
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q2_mada,anl82_delta_ebtq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 ebitda,MATRIX,USA,TOP3000,1,0.6526,,,2026-07-16T15:20:39,possible_direction=analyst,absolute actual analyst analyst82 anl82_delta_ebtq_q2_mada data deviation ebitda estimate mean possible_direction prediction q2 scaled values
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q2_madp,anl82_delta_ebtq_q2_madp,Mean of absolute deviation of predicted values for Q2 ebitda,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,absolute analyst analyst82 anl82_delta_ebtq_q2_madp data deviation ebitda estimate mean possible_direction predicted prediction q2 values
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q2_mae,anl82_delta_ebtq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 ebitda,MATRIX,USA,TOP3000,1,0.6526,,,2026-07-16T15:20:39,possible_direction=analyst,absolute analyst analyst82 anl82_delta_ebtq_q2_mae data ebitda error estimate mean model particular possible_direction prediction q2 stock
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q2_predict,anl82_delta_ebtq_q2_predict,Predicted value of Q2 ebitda,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analyst82 anl82_delta_ebtq_q2_predict data ebitda estimate possible_direction predicted prediction q2 value
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q3_mada,anl82_delta_ebtq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 ebitda,MATRIX,USA,TOP3000,1,0.6526,,,2026-07-16T15:20:39,possible_direction=analyst,absolute actual analyst analyst82 anl82_delta_ebtq_q3_mada data deviation ebitda estimate mean possible_direction prediction q3 scaled values
analyst82,Analyst estimate prediction data,Analyst,anl82_delta_ebtq_q3_madp,anl82_delta_ebtq_q3_madp,Mean of absolute deviation of predicted values for Q3 ebitda,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,absolute analyst analyst82 anl82_delta_ebtq_q3_madp data deviation ebitda estimate mean possible_direction predicted prediction q3 values
