dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_bvps_value_annual12,actual_bvps_value_annual12,Company-reported actual annual Book Value per Share (unadjusted),VECTOR,USA,TOP3000,1,0.7725,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_bvps_value_annual12 analyst analyst_consensus annual book company consensus forecasts per possible_direction reported share standardized unadjusted value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_bvps_value_annual12_tribes,actual_bvps_value_annual12_tribes,Reported actual BVPS values for the periods (forecast periods may be empty),VECTOR,USA,TOP3000,1,0.8126,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_bvps_value_annual12_tribes analyst analyst_consensus be bvps consensus empty forecast forecasts may periods possible_direction reported standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_bvps_value_fxadj_annual12,actual_bvps_value_fxadj_annual12,Adjusted actual reported Book Value Per Share value (currency/split adjusted),VECTOR,USA,TOP3000,1,0.7725,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_bvps_value_fxadj_annual12 adjusted analyst analyst_consensus book consensus currency forecasts per possible_direction reported share split standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_bvps_value_fxadj_annual12_2,actual_bvps_value_fxadj_annual12_2,Regime and currency-adjusted actual reported BVPS value,VECTOR,USA,TOP3000,1,0.8126,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_bvps_value_fxadj_annual12_2 adjusted analyst analyst_consensus bvps consensus currency forecasts possible_direction regime reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_bvps_value_quarterly16_2,actual_bvps_value_quarterly16_2,Reported actual value for quarterly book value per share.,VECTOR,USA,TOP3000,1,0.5416,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_bvps_value_quarterly16_2 analyst analyst_consensus book consensus forecasts per possible_direction quarterly reported share standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_reported_value,actual_capex_reported_value,Actual reported value for capital expenditure for the period.,VECTOR,USA,TOP3000,1,0.6202,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_reported_value analyst analyst_consensus capital consensus expenditure forecasts period possible_direction reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_annual12_2,actual_capex_value_annual12_2,Actual reported CPX values,VECTOR,USA,TOP3000,1,0.7802,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_annual12_2 analyst analyst_consensus consensus cpx forecasts possible_direction reported standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_annual12_3,actual_capex_value_annual12_3,"Actual reported CAPEX value (as reported, unadjusted)",VECTOR,USA,TOP3000,1,0.8128,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_annual12_3 analyst analyst_consensus as capex consensus forecasts possible_direction reported standardized unadjusted value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_fxadj_annual12_2,actual_capex_value_fxadj_annual12_2,Regime-adjusted actual reported CPX values,VECTOR,USA,TOP3000,1,0.7802,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_fxadj_annual12_2 adjusted analyst analyst_consensus consensus cpx forecasts possible_direction regime reported standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_fxadj_annual12_3,actual_capex_value_fxadj_annual12_3,Currency/regime-adjusted actual reported CAPEX value,VECTOR,USA,TOP3000,1,0.8128,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_fxadj_annual12_3 adjusted analyst analyst_consensus capex consensus currency forecasts possible_direction regime reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_fxadj_quarterly16,actual_capex_value_fxadj_quarterly16,"Actual reported values for the CPX measure, adjusted for currency and stock splits and aligned to event periods",VECTOR,USA,TOP3000,1,0.607,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_fxadj_quarterly16 adjusted aligned analyst analyst_consensus consensus cpx currency event forecasts measure periods possible_direction reported splits standardized stock values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_capex_value_quarterly16,actual_capex_value_quarterly16,"Actual reported values for the CPX measure, with forecast positions as NaN and actuals filled at/after report",VECTOR,USA,TOP3000,1,0.607,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_capex_value_quarterly16 actuals after analyst analyst_consensus as at consensus cpx filled forecast forecasts measure nan positions possible_direction report reported standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cashflowfinancing_value_annual12,actual_cashflowfinancing_value_annual12,Reported actual annual Cash Flow from Financing (CFFINANCE),VECTOR,USA,TOP3000,1,0.7429,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cashflowfinancing_value_annual12 analyst analyst_consensus annual cash cffinance consensus financing flow forecasts from possible_direction reported standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cashflowfinancing_value_fxadj_annual12,actual_cashflowfinancing_value_fxadj_annual12,Actual annual Cash Flow from Financing adjusted for currency/splits/regime,VECTOR,USA,TOP3000,1,0.7429,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cashflowfinancing_value_fxadj_annual12 adjusted analyst analyst_consensus annual cash consensus currency financing flow forecasts from possible_direction regime splits standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cashflowinvesting_value_annual12,actual_cashflowinvesting_value_annual12,"Actual reported annual CFINVEST values, with forecast periods typically filled with NaN",VECTOR,USA,TOP3000,1,0.7495,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cashflowinvesting_value_annual12 analyst analyst_consensus annual cfinvest consensus filled forecast forecasts nan periods possible_direction reported standardized typically values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cashflowinvesting_value_fxadj_annual12,actual_cashflowinvesting_value_fxadj_annual12,Currency-adjusted actual reported Cash Flow from Investing (converted to default currency and split-adjusted as applicable),VECTOR,USA,TOP3000,1,0.7495,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cashflowinvesting_value_fxadj_annual12 adjusted analyst analyst_consensus applicable as cash consensus converted currency default flow forecasts from investing possible_direction reported split standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfo_value_annual12,actual_cfo_value_annual12,Reported actual operating cash flow values; forecast periods are typically NaN,VECTOR,USA,TOP3000,1,0.7956,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfo_value_annual12 analyst analyst_consensus are cash consensus flow forecast forecasts nan operating periods possible_direction reported standardized typically values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfo_value_fxadj_annual12,actual_cfo_value_fxadj_annual12,Reported actual operating cash flow values adjusted for currency and splits,VECTOR,USA,TOP3000,1,0.7956,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfo_value_fxadj_annual12 adjusted analyst analyst_consensus cash consensus currency flow forecasts operating possible_direction reported splits standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_annual12,actual_cfps_value_annual12,Vendor-reported actual value of annual cash flow per share (CPS),VECTOR,USA,TOP3000,1,0.6764,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_annual12 analyst analyst_consensus annual cash consensus cps flow forecasts per possible_direction reported share standardized value vendor
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_annual12_2,actual_cfps_value_annual12_2,Reported actual annual CFPS value,VECTOR,USA,TOP3000,1,0.7282,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_annual12_2 analyst analyst_consensus annual cfps consensus forecasts possible_direction reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_fxadj_annual12,actual_cfps_value_fxadj_annual12,Regime-adjusted actual reported value of annual cash flow per share (CPS),VECTOR,USA,TOP3000,1,0.6764,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_fxadj_annual12 adjusted analyst analyst_consensus annual cash consensus cps flow forecasts per possible_direction regime reported share standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_fxadj_annual12_2,actual_cfps_value_fxadj_annual12_2,Currency/split-adjusted actual CFPS values,VECTOR,USA,TOP3000,1,0.7282,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_fxadj_annual12_2 adjusted analyst analyst_consensus cfps consensus currency forecasts possible_direction split standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_fxadj_quarterly16,actual_cfps_value_fxadj_quarterly16,Currency/split-adjusted actual CPS values,VECTOR,USA,TOP3000,1,0.5359,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_fxadj_quarterly16 adjusted analyst analyst_consensus consensus cps currency forecasts possible_direction split standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cfps_value_quarterly16,actual_cfps_value_quarterly16,Reported actual quarterly CPS values aligned to periods (vector),VECTOR,USA,TOP3000,1,0.5359,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cfps_value_quarterly16 aligned analyst analyst_consensus consensus cps forecasts periods possible_direction quarterly reported standardized values vector
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cogs_value_annual12_tribes,actual_cogs_value_annual12_tribes,Actual reported annual Cost of Goods Sold,VECTOR,USA,TOP3000,1,0.7479,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cogs_value_annual12_tribes analyst analyst_consensus annual consensus cost forecasts goods possible_direction reported sold standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_cogs_value_fxadj_annual12_tribes,actual_cogs_value_fxadj_annual12_tribes,Currency/split adjusted actual annual COGS value,VECTOR,USA,TOP3000,1,0.7479,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_cogs_value_fxadj_annual12_tribes adjusted analyst analyst_consensus annual cogs consensus currency forecasts possible_direction split standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_current_assets_reported_value,actual_current_assets_reported_value,Actual reported value for current assets for the period.,VECTOR,USA,TOP3000,1,0.5179,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_current_assets_reported_value analyst analyst_consensus assets consensus current forecasts period possible_direction reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_currentassets_value_annual12,actual_currentassets_value_annual12,Actual reported annual current assets amount as disclosed by the company,VECTOR,USA,TOP3000,1,0.7212,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_currentassets_value_annual12 amount analyst analyst_consensus annual as assets by company consensus current disclosed forecasts possible_direction reported standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_currentassets_value_fxadj_annual12,actual_currentassets_value_fxadj_annual12,Currency/split/regime-adjusted actual reported annual current assets amount,VECTOR,USA,TOP3000,1,0.7212,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_currentassets_value_fxadj_annual12 adjusted amount analyst analyst_consensus annual assets consensus currency current forecasts possible_direction regime reported split standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_currentliabilities_value_annual12,actual_currentliabilities_value_annual12,Reported actual value for annual current liabilities (unadjusted),VECTOR,USA,TOP3000,1,0.72,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_currentliabilities_value_annual12 analyst analyst_consensus annual consensus current forecasts liabilities possible_direction reported standardized unadjusted value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_currentliabilities_value_fxadj_annual12,actual_currentliabilities_value_fxadj_annual12,Actual reported annual current liabilities adjusted for currency/regime effects,VECTOR,USA,TOP3000,1,0.72,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_currentliabilities_value_fxadj_annual12 adjusted analyst analyst_consensus annual consensus currency current effects forecasts liabilities possible_direction regime reported standardized
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_depreciation_value_annual12,actual_depreciation_value_annual12,Actual reported annual depreciation values aligned to events (NaN for pure forecast periods),VECTOR,USA,TOP3000,1,0.63,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_depreciation_value_annual12 aligned analyst analyst_consensus annual consensus depreciation events forecast forecasts nan periods possible_direction pure reported standardized values
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_depreciation_value_fxadj_annual12,actual_depreciation_value_fxadj_annual12,Adjusted actual annual depreciation values vector (currency/split/regime adjusted),VECTOR,USA,TOP3000,1,0.63,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_depreciation_value_fxadj_annual12 adjusted analyst analyst_consensus annual consensus currency depreciation forecasts possible_direction regime split standardized values vector
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_dividend_value_annual12,actual_dividend_value_annual12,Actual reported annual DPS value(s),VECTOR,USA,TOP3000,1,0.8054,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_dividend_value_annual12 analyst analyst_consensus annual consensus dps forecasts possible_direction reported standardized value
analyst_consensus,Standardized Analyst Consensus Forecasts,Analyst,actual_dividend_value_annual12_2,actual_dividend_value_annual12_2,Actual reported annual dividends-per-share (DPS) value for the period,VECTOR,USA,TOP3000,1,0.8485,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_dividend_value_annual12_2 analyst analyst_consensus annual consensus dividends dps forecasts per period possible_direction reported share standardized value
