dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,closing_price_dlr1,closing_price_dlr1,"Daily closing price for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted analyst analyst_earnings_ibes closing closing_price_dlr1 d1 daily delayed earnings event forecasts fx global masked model point possible_direction price security split time
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,closing_price_dlr2,closing_price_dlr2,"Closing price for the trading day, split- and FX-adjusted, point-in-time and D1-delayed, event-masked",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted analyst analyst_earnings_ibes closing closing_price_dlr2 d1 day delayed earnings event forecasts fx global masked model point possible_direction price split time trading
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,closing_price_dlr3,closing_price_dlr3,"Closing price for the day (split/FX-adjusted, PIT, D1-delayed, event-masked)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted analyst analyst_earnings_ibes closing closing_price_dlr3 d1 day delayed earnings event forecasts fx global masked model pit possible_direction price split
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,five_day_total_return_dlr1,five_day_total_return_dlr1,"Stock return over the last 5 trading days for Americas-region equities, D1-delayed, point-in-time, split/FX-adjusted and event-masked (rolling window masked if any day is masked)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted americas analyst analyst_earnings_ibes any d1 day days delayed earnings equities event five_day_total_return_dlr1 forecasts fx global if is last masked model over point possible_direction region return rolling split stock time trading window
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,five_day_total_return_dlr2,five_day_total_return_dlr2,"Stock return over the last 5 trading days for Europe, D1-delayed and point-in-time, split/FX-adjusted and event-masked (masked if any day in the window is masked)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted analyst analyst_earnings_ibes any d1 day days delayed earnings europe event five_day_total_return_dlr2 forecasts fx global if is last masked model over point possible_direction return split stock time trading window
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,five_day_total_return_dlra1,five_day_total_return_dlra1,"Rolling stock return over the last 5 trading days for Europe; D1-delayed, point-in-time, split/FX-adjusted, masked if any day in the window is masked",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,adjusted analyst analyst_earnings_ibes any d1 day days delayed earnings europe event five_day_total_return_dlra1 forecasts fx global if is last masked model over point possible_direction return rolling split stock time trading window
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,highest_price_dlr1,highest_price_dlr1,"Daily highest traded price (session high) for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,adjusted analyst analyst_earnings_ibes d1 daily delayed earnings event forecasts fx global high highest highest_price_dlr1 masked model point possible_direction price security session split time traded volume
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,highest_price_dlr2,highest_price_dlr2,"Highest traded price of the day, split- and FX-adjusted, point-in-time and D1-delayed, event-masked",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,adjusted analyst analyst_earnings_ibes d1 day delayed earnings event forecasts fx global highest highest_price_dlr2 masked model point possible_direction price split time traded volume
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,highest_price_dlr3,highest_price_dlr3,"Highest trade price of the day (split/FX-adjusted, PIT, D1-delayed, event-masked)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,adjusted analyst analyst_earnings_ibes d1 day delayed earnings event forecasts fx global highest highest_price_dlr3 masked model pit possible_direction price split trade volume
analyst_earnings_ibes,Global Analyst Earnings Forecasts,Model,lowest_price_dlr1,lowest_price_dlr1,"Daily lowest traded price (session low) for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,adjusted analyst analyst_earnings_ibes d1 daily delayed earnings event forecasts fx global low lowest lowest_price_dlr1 masked model point possible_direction price security session split time traded volume
