dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
analyst_factor_signals,Global Analyst Factor Signals,Analyst,act_q1_yoy_growth_cogs,act_q1_yoy_growth_cogs,Year-over-year growth rate in actual reported cost of goods sold for the first quarter.,MATRIX,USA,TOP3000,1,0.5125,,,2026-07-16T15:20:39,possible_direction=analyst,act_q1_yoy_growth_cogs actual analyst analyst_factor_signals cost factor first global goods growth over possible_direction quarter rate reported signals sold year
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_book_value_ps,actual_q1_qoq_book_value_ps,Quarter-over-quarter change in actual Q1 book value per share.,MATRIX,USA,TOP3000,1,0.5081,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_book_value_ps analyst analyst_factor_signals book change factor global over per possible_direction q1 quarter share signals value
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_cash_invest,actual_q1_qoq_cash_invest,Quarter-over-quarter change in actual Q1 cash flow from investing activities.,MATRIX,USA,TOP3000,1,0.4669,,,2026-07-16T15:20:39,possible_direction=analyst,activities actual actual_q1_qoq_cash_invest analyst analyst_factor_signals cash change factor flow from global investing over possible_direction q1 quarter signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_change_ebit,actual_q1_qoq_change_ebit,Quarter-over-quarter change in actual EBIT for the first quarter.,MATRIX,USA,TOP3000,1,0.8725,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_change_ebit analyst analyst_factor_signals change ebit factor first global over possible_direction quarter signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_change_mktblsec,actual_q1_qoq_change_mktblsec,Quarter-over-quarter change in actual marketable securities for the first quarter.,MATRIX,USA,TOP3000,1,0.6225,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_change_mktblsec analyst analyst_factor_signals change factor first global marketable over possible_direction quarter securities signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_depr_amort,actual_q1_qoq_depr_amort,Quarter-over-quarter change in actual Q1 depreciation and amortization.,MATRIX,USA,TOP3000,1,0.733,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_depr_amort amortization analyst analyst_factor_signals change depreciation factor global over possible_direction q1 quarter signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_eps_growth,actual_q1_qoq_eps_growth,Quarter-over-quarter growth rate for actual EPS in the most recent quarter.,MATRIX,USA,TOP3000,1,0.8887,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_eps_growth analyst analyst_factor_signals eps factor global growth most over possible_direction quarter rate recent signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_gross_income_growth,actual_q1_qoq_gross_income_growth,Quarter-over-quarter growth rate for actual gross income in the most recent quarter.,MATRIX,USA,TOP3000,1,0.5864,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_gross_income_growth analyst analyst_factor_signals factor global gross growth income most over possible_direction quarter rate recent signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_qoq_profit_growth,actual_q1_qoq_profit_growth,Quarter-over-quarter growth rate for actual profit in the most recent quarter.,MATRIX,USA,TOP3000,1,0.8352,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_qoq_profit_growth analyst analyst_factor_signals factor global growth most over possible_direction profit quarter rate recent signals
analyst_factor_signals,Global Analyst Factor Signals,Analyst,actual_q1_quarterly_change_cashflow_per_share,actual_q1_quarterly_change_cashflow_per_share,Quarter-over-quarter change in actual cash flow per share for the first quarter.,MATRIX,USA,TOP3000,1,0.5265,,,2026-07-16T15:20:39,possible_direction=analyst,actual actual_q1_quarterly_change_cashflow_per_share analyst analyst_factor_signals cash change factor first flow global over per possible_direction quarter share signals
