dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
earnings2,Financial Event Calendar Data,Earnings,ern2_corppresntn_d1_calendar_next,ern2_corppresntn_d1_calendar_next,Next conference presentation date,MATRIX,USA,TOP3000,1,0.562,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar conference data date earnings earnings2 ern2_corppresntn_d1_calendar_next event financial fundamental next possible_direction presentation
earnings2,Financial Event Calendar Data,Earnings,ern2_corppresntn_d1_calendar_prev,ern2_corppresntn_d1_calendar_prev,Previous conference presentation date,MATRIX,USA,TOP3000,1,0.7545,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar conference data date earnings earnings2 ern2_corppresntn_d1_calendar_prev event financial fundamental possible_direction presentation previous
earnings2,Financial Event Calendar Data,Earnings,ern2_earnconfcall_d1_calendar_next,ern2_earnconfcall_d1_calendar_next,Next earnings conference call date,MATRIX,USA,TOP3000,1,0.8524,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar call conference data date earnings earnings2 ern2_earnconfcall_d1_calendar_next event financial fundamental next possible_direction
earnings2,Financial Event Calendar Data,Earnings,ern2_earnconfcall_d1_calendar_prev,ern2_earnconfcall_d1_calendar_prev,Previous earnings conference call date,MATRIX,USA,TOP3000,1,0.9136,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar call conference data date earnings earnings2 ern2_earnconfcall_d1_calendar_prev event financial fundamental possible_direction previous
earnings2,Financial Event Calendar Data,Earnings,ern2_earnrelease_d1_calendar_next,ern2_earnrelease_d1_calendar_next,Next earnings release date,MATRIX,USA,TOP3000,1,0.8738,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar data date earnings earnings2 ern2_earnrelease_d1_calendar_next event financial fundamental next possible_direction release
earnings2,Financial Event Calendar Data,Earnings,ern2_earnrelease_d1_calendar_prev,ern2_earnrelease_d1_calendar_prev,Previous earnings release date,MATRIX,USA,TOP3000,1,0.9651,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar data date earnings earnings2 ern2_earnrelease_d1_calendar_prev event financial fundamental possible_direction previous release
earnings2,Financial Event Calendar Data,Earnings,ern2_earnrelease_d1_estimate_calendar_next,ern2_earnrelease_d1_estimate_calendar_next,Estimated next earnings release date,MATRIX,USA,TOP3000,1,0.8356,,,2026-07-16T15:20:39,possible_direction=analyst,analyst calendar data date earnings earnings2 ern2_earnrelease_d1_estimate_calendar_next estimated event financial next possible_direction release
earnings2,Financial Event Calendar Data,Earnings,ern2_exdivdnd_d1_calendar_next,ern2_exdivdnd_d1_calendar_next,Next ex-dividend date,MATRIX,USA,TOP3000,1,0.481,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar data date dividend earnings earnings2 ern2_exdivdnd_d1_calendar_next event ex financial fundamental next possible_direction
earnings2,Financial Event Calendar Data,Earnings,ern2_exdivdnd_d1_calendar_prev,ern2_exdivdnd_d1_calendar_prev,Previous ex-dividend date,MATRIX,USA,TOP3000,1,0.512,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar data date dividend earnings earnings2 ern2_exdivdnd_d1_calendar_prev event ex financial fundamental possible_direction previous
earnings2,Financial Event Calendar Data,Earnings,ern2_shareholdrannmeet_d1_calendar_next,ern2_shareholdrannmeet_d1_calendar_next,Next Shareholder Annual Meeting date,MATRIX,USA,TOP3000,1,0.2828,,,2026-07-16T15:20:39,possible_direction=fundamental,annual calendar data date earnings earnings2 ern2_shareholdrannmeet_d1_calendar_next event financial fundamental meeting next possible_direction shareholder
earnings2,Financial Event Calendar Data,Earnings,ern2_shareholdrannmeet_d1_calendar_prev,ern2_shareholdrannmeet_d1_calendar_prev,Previous Shareholder Annual Meeting date,MATRIX,USA,TOP3000,1,0.4454,,,2026-07-16T15:20:39,possible_direction=fundamental,annual calendar data date earnings earnings2 ern2_shareholdrannmeet_d1_calendar_prev event financial fundamental meeting possible_direction previous shareholder
earnings2,Financial Event Calendar Data,Earnings,ern2_shareholdrannmeet_d1_estimate_calendar_next,ern2_shareholdrannmeet_d1_estimate_calendar_next,Estimated Next Shareholder Annual Meeting Date,MATRIX,USA,TOP3000,1,0.5664,,,2026-07-16T15:20:39,possible_direction=analyst,analyst annual calendar data date earnings earnings2 ern2_shareholdrannmeet_d1_estimate_calendar_next estimated event financial meeting next possible_direction shareholder
