"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"earnings7","Horizon Earnings and Calendar North America","Earnings","confcall_financial_year","confcall_financial_year","Fiscal year for which the conference call is relevant or reported","VECTOR","USA","TOP3000","1","0.8392","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","confcall_financial_year_fast_d1","confcall_financial_year_fast_d1","Fiscal year for which the conference call is relevant or reported","VECTOR","USA","TOP3000","1","0.8392","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","confcall_fiscal_quarter","confcall_fiscal_quarter","Fiscal quarter (1-4) for which the conference call pertains","VECTOR","USA","TOP3000","1","0.9078","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","confcall_fiscal_quarter_fast_d1","confcall_fiscal_quarter_fast_d1","Fiscal quarter (1-4) for which the conference call pertains","VECTOR","USA","TOP3000","1","0.9082","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","dividend_amount_original_currency","dividend_amount_original_currency","The currency code (integer) representing the original currency in which the dividend amount is declared","VECTOR","USA","TOP3000","1","0.4987","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","dividend_amount_original_currency_fast_d1","dividend_amount_original_currency_fast_d1","The currency code (integer) representing the original currency in which the dividend amount is declared","VECTOR","USA","TOP3000","1","0.4987","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","dividend_payment_frequency_2","dividend_payment_frequency_2","How often the dividend is paid (e.g., annual, quarterly) as an integer frequency code","VECTOR","USA","TOP3000","1","0.5033","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","dividend_payment_frequency_2_fast_d1","dividend_payment_frequency_2_fast_d1","How often the dividend is paid (e.g., annual, quarterly) as an integer frequency code","VECTOR","USA","TOP3000","1","0.5033","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","earnings_announcement_time_of_day","earnings_announcement_time_of_day","Numeric code indicating the expected time of day when the earnings announcement is scheduled (e.g., before market, after market, during market hours, or unspecified)","VECTOR","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","earnings_announcement_time_of_day_fast_d1","earnings_announcement_time_of_day_fast_d1","Numeric code indicating the expected time of day when the earnings announcement is scheduled (e.g., before market, after market, during market hours, or unspecified)","VECTOR","USA","TOP3000","1","0.4324","","","2026-07-16T15:20:39","possible_direction=fundamental"
"earnings7","Horizon Earnings and Calendar North America","Earnings","earnings_date_fiscal_quarter","earnings_date_fiscal_quarter","Numeric value (1-4) indicating which fiscal quarter the earnings date pertains to","VECTOR","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
