dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
event_sentiment_signals,Corporate Event Sentiment Signals,Other,event_count_in_section_aggregation,event_count_in_section_aggregation,Weighted count of events within the specified section context,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,context corporate count event event_count_in_section_aggregation event_sentiment_signals events other possible_direction section sentiment signals specified weighted within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,event_count_in_section_aggregation_2,event_count_in_section_aggregation_2,Weighted count of events in the given section context,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,context corporate count event event_count_in_section_aggregation_2 event_sentiment_signals events given other possible_direction section sentiment signals weighted
event_sentiment_signals,Corporate Event Sentiment Signals,Other,event_weight_aggregation,event_weight_aggregation,The numerical weight/magnitude assigned to the event occurrence,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,assigned corporate event event_sentiment_signals event_weight_aggregation magnitude numerical occurrence other possible_direction sentiment signals weight
event_sentiment_signals,Corporate Event Sentiment Signals,Other,event_weight_aggregation_2,event_weight_aggregation_2,"The numeric weight assigned to an aggregated event, indicating its contribution or importance in the event aggregation and sentiment calculations",VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregated aggregation assigned calculations contribution corporate event event_sentiment_signals event_weight_aggregation_2 importance indicating its numeric other possible_direction sentiment signals weight
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_negative_event_count_section,key_factor_negative_event_count_section,Count of negative events associated with the key driver in the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,associated corporate count driver event event_sentiment_signals events key key_factor_negative_event_count_section negative other possible_direction section sentiment signals
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_negative_event_count_section_2,key_factor_negative_event_count_section_2,Count of negative events for the key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,corporate count driver event event_sentiment_signals events key key_factor_negative_event_count_section_2 negative other possible_direction section sentiment signals within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_negative_score_section,key_factor_negative_score_section,Weighted aggregate negative sentiment score for the given key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregate corporate driver event event_sentiment_signals given key key_factor_negative_score_section negative other possible_direction score section sentiment signals weighted within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_negative_score_section_2,key_factor_negative_score_section_2,Weighted aggregate of negative events for the specified key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,aggregate corporate driver event event_sentiment_signals events key key_factor_negative_score_section_2 negative other possible_direction section sentiment signals specified weighted within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_positive_event_count_section,key_factor_positive_event_count_section,Count of positive events associated with the key driver in the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,associated corporate count driver event event_sentiment_signals events key key_factor_positive_event_count_section other positive possible_direction section sentiment signals
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_positive_event_count_section_2,key_factor_positive_event_count_section_2,Count of positive events for the key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,corporate count driver event event_sentiment_signals events key key_factor_positive_event_count_section_2 other positive possible_direction section sentiment signals within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_positive_score_section,key_factor_positive_score_section,Weighted sum of positive events for the key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,corporate driver event event_sentiment_signals events key key_factor_positive_score_section other positive possible_direction section sentiment signals sum weighted within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_positive_score_section_2,key_factor_positive_score_section_2,Weighted aggregate of positive events for the specified key driver within the section,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=event,aggregate corporate driver event event_sentiment_signals events key key_factor_positive_score_section_2 other positive possible_direction section sentiment signals specified weighted within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_score_section,key_factor_score_section,"Sentiment score for the key driver within the section, computed as (P−N)/(P+N+1) where P and N are weighted sums of positive and negative events",VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=sentiment,are as computed corporate driver event event_sentiment_signals events key key_factor_score_section negative other positive possible_direction score section sentiment signals sums weighted where within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,key_factor_score_section_2,key_factor_score_section_2,Sentiment score for the key driver within the section computed as (P−N)/(P+N+1) where P and N are weighted sums of positive and negative events,VECTOR,USA,TOP3000,1,0.7188,,,2026-07-16T15:20:39,possible_direction=sentiment,are as computed corporate driver event event_sentiment_signals events key key_factor_score_section_2 negative other positive possible_direction score section sentiment signals sums weighted where within
event_sentiment_signals,Corporate Event Sentiment Signals,Other,positive_event_count_section,positive_event_count_section,Count of positive events in the section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,corporate count event event_sentiment_signals events other positive positive_event_count_section possible_direction section sentiment signals
event_sentiment_signals,Corporate Event Sentiment Signals,Other,positive_event_count_section_2,positive_event_count_section_2,Number of positive events identified in a document section.,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,corporate document event event_sentiment_signals events identified number other positive positive_event_count_section_2 possible_direction section sentiment signals
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_negative_event_count,section_negative_event_count,Count of negative events in the specified section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,corporate count event event_sentiment_signals events negative other possible_direction section section_negative_event_count sentiment signals specified
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_negative_event_count_2,section_negative_event_count_2,Count of negative events in a document section.,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=event,corporate count document event event_sentiment_signals events negative other possible_direction section section_negative_event_count_2 sentiment signals
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_negative_score,section_negative_score,Weighted aggregate negative sentiment score for the section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregate corporate event event_sentiment_signals negative other possible_direction score section section_negative_score sentiment signals weighted
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_negative_score_2,section_negative_score_2,Weighted sum of negative events for the Fundamental-KD key driver in the section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=fundamental,corporate driver event event_sentiment_signals events fundamental kd key negative other possible_direction section section_negative_score_2 sentiment signals sum weighted
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_positive_score,section_positive_score,Weighted aggregate positive sentiment score for the section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregate corporate event event_sentiment_signals other positive possible_direction score section section_positive_score sentiment signals weighted
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_positive_score_2,section_positive_score_2,Weighted sum of positive events for the Fundamental-KD key driver in the section,VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=fundamental,corporate driver event event_sentiment_signals events fundamental kd key other positive possible_direction section section_positive_score_2 sentiment signals sum weighted
event_sentiment_signals,Corporate Event Sentiment Signals,Other,section_sentiment_score_2,section_sentiment_score_2,"Sentiment score for events tagged with the Fundamental-KD key driver in this section, computed as (P−N)/(P+N+1)",VECTOR,USA,TOP3000,1,0.7191,,,2026-07-16T15:20:39,possible_direction=fundamental,as computed corporate driver event event_sentiment_signals events fundamental kd key other possible_direction score section section_sentiment_score_2 sentiment signals tagged this
