dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,directional_indicator_2,directional_indicator_2,A metric indicating the overall direction or bias of enhanced insider activity.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,activity aggregates bias direction directional_indicator_2 enhanced indicating insider insider_agg_matrix insiders metric overall possible_direction smart transaction unknown
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,directional_significant_value_1,directional_significant_value_1,Highest value among directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional directional_significant_value_1 highest insider insider_agg_matrix insiders possible_direction significant smart transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,directional_significant_value_2,directional_significant_value_2,Second highest value among directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional directional_significant_value_2 highest insider insider_agg_matrix insiders possible_direction second significant smart transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,directional_significant_value_3,directional_significant_value_3,Third highest value among directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional directional_significant_value_3 highest insider insider_agg_matrix insiders possible_direction significant smart third transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,directional_significant_value_4,directional_significant_value_4,Fourth highest value among directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional directional_significant_value_4 fourth highest insider insider_agg_matrix insiders possible_direction significant smart transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,significant_value_1,significant_value_1,Value of the most significant insider transaction.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates insider insider_agg_matrix insiders most possible_direction significant significant_value_1 smart transaction unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,significant_value_2,significant_value_2,Value of the second most significant insider transaction.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates insider insider_agg_matrix insiders most possible_direction second significant significant_value_2 smart transaction unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,significant_value_3,significant_value_3,Value of the third most significant insider transaction.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates insider insider_agg_matrix insiders most possible_direction significant significant_value_3 smart third transaction unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,significant_value_4,significant_value_4,Value of the fourth most significant insider transaction.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates fourth insider insider_agg_matrix insiders most possible_direction significant significant_value_4 smart transaction unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_directional_significant_value_1,top_directional_significant_value_1,Highest value among top directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional highest insider insider_agg_matrix insiders possible_direction significant smart top top_directional_significant_value_1 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_directional_significant_value_2,top_directional_significant_value_2,Second highest value among top directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional highest insider insider_agg_matrix insiders possible_direction second significant smart top top_directional_significant_value_2 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_directional_significant_value_3,top_directional_significant_value_3,Third highest value among top directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional highest insider insider_agg_matrix insiders possible_direction significant smart third top top_directional_significant_value_3 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_directional_significant_value_4,top_directional_significant_value_4,Fourth highest value among top directional significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among directional fourth highest insider insider_agg_matrix insiders possible_direction significant smart top top_directional_significant_value_4 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_significant_value_1,top_significant_value_1,Highest value among top significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among highest insider insider_agg_matrix insiders possible_direction significant smart top top_significant_value_1 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_significant_value_2,top_significant_value_2,Second highest value among top significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among highest insider insider_agg_matrix insiders possible_direction second significant smart top top_significant_value_2 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_significant_value_3,top_significant_value_3,Third highest value among top significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among highest insider insider_agg_matrix insiders possible_direction significant smart third top top_significant_value_3 transaction transactions unknown value
insider_agg_matrix,Smart Insider Transaction Aggregates,Insiders,top_significant_value_4,top_significant_value_4,Fourth highest value among top significant insider transactions.,MATRIX,USA,TOP3000,1,0.7716,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates among fourth highest insider insider_agg_matrix insiders possible_direction significant smart top top_significant_value_4 transaction transactions unknown value
