"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_1mo","buy_to_sell_amount_ratio_1mo","Ratio of insider purchase value to sell value over the past month.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_1wk","buy_to_sell_amount_ratio_1wk","Ratio of insider purchase value to sell value over the past week.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_1yr","buy_to_sell_amount_ratio_1yr","Ratio of insider purchase value to sell value over the past year.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_2mo","buy_to_sell_amount_ratio_2mo","Ratio of insider purchase value to sell value over the past two months.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_2wk","buy_to_sell_amount_ratio_2wk","Ratio of insider purchase value to sell value over the past two weeks.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_6mo","buy_to_sell_amount_ratio_6mo","Ratio of insider purchase value to sell value over the past half year.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_sell_amount_ratio_qtr","buy_to_sell_amount_ratio_qtr","Ratio of insider purchase value to sell value over the past quarter.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_total_amount_ratio_1mo","buy_to_total_amount_ratio_1mo","Ratio of insider purchase value to total transaction value over the past month.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_total_amount_ratio_1wk","buy_to_total_amount_ratio_1wk","Ratio of insider purchase value to total transaction value over the past week.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_total_amount_ratio_1yr","buy_to_total_amount_ratio_1yr","Ratio of insider purchase value to total transaction value over the past year.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_total_amount_ratio_2mo","buy_to_total_amount_ratio_2mo","Ratio of insider purchase value to total transaction value over the past two months.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
"insiders1","Global Insider Trading Data","Insiders","buy_to_total_amount_ratio_2wk","buy_to_total_amount_ratio_2wk","Ratio of insider purchase value to total transaction value over the past two weeks.","MATRIX","USA","TOP3000","1","0.7842","","","2026-07-16T15:20:39","possible_direction=unknown"
