dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
insiders4,Edgar forms data,Insiders,board_membership_indicator,board_membership_indicator,Flag indicating whether the individual is a member of the company’s board.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,board board_membership_indicator company data edgar flag forms indicating individual insiders insiders4 is member possible_direction unknown whether
insiders4,Edgar forms data,Insiders,executive_department_label,executive_department_label,A label or tag indicating the department associated with the executive.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,associated data department edgar executive executive_department_label forms indicating insiders insiders4 label possible_direction tag unknown
insiders4,Edgar forms data,Insiders,executive_position_label,executive_position_label,A label or tag describing the executive’s position or function.,VECTOR,USA,TOP3000,1,0.6093,,,2026-07-16T15:20:39,possible_direction=unknown,data describing edgar executive executive_position_label forms function insiders insiders4 label position possible_direction tag unknown
insiders4,Edgar forms data,Insiders,insd4_bonus,insd4_bonus,Bonus compensation amount,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,amount bonus compensation data edgar forms insd4_bonus insiders insiders4 possible_direction unknown
insiders4,Edgar forms data,Insiders,insd4_frequency_reportlen,insd4_frequency_reportlen,Length of the 8-K report,VECTOR,USA,TOP3000,1,0.8325,,,2026-07-16T15:20:39,possible_direction=unknown,data edgar forms insd4_frequency_reportlen insiders insiders4 length possible_direction report unknown
insiders4,Edgar forms data,Insiders,insd4_location_reportlen,insd4_location_reportlen,Length of the 8-K report,VECTOR,USA,TOP3000,1,0.8325,,,2026-07-16T15:20:39,possible_direction=unknown,data edgar forms insd4_location_reportlen insiders insiders4 length possible_direction report unknown
insiders4,Edgar forms data,Insiders,insd4_nonequity_plan,insd4_nonequity_plan,Non-equity incentive plan compensation amount,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,amount compensation data edgar equity forms incentive insd4_nonequity_plan insiders insiders4 non plan possible_direction unknown
insiders4,Edgar forms data,Insiders,insd4_option_awards,insd4_option_awards,Value of option awards granted,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,awards data edgar forms granted insd4_option_awards insiders insiders4 option possible_direction unknown value
insiders4,Edgar forms data,Insiders,insd4_other,insd4_other,Other information,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,data edgar forms information insd4_other insiders insiders4 other possible_direction unknown
insiders4,Edgar forms data,Insiders,insd4_pension_nqdc,insd4_pension_nqdc,Change in pension value and nonqualified deferred compensation earnings,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=fundamental,change compensation data deferred earnings edgar forms fundamental insd4_pension_nqdc insiders insiders4 nonqualified pension possible_direction value
insiders4,Edgar forms data,Insiders,insd4_quarter_value,insd4_quarter_value,Quarter value information,VECTOR,USA,TOP3000,1,0.4355,,,2026-07-16T15:20:39,possible_direction=unknown,data edgar forms information insd4_quarter_value insiders insiders4 possible_direction quarter unknown value
insiders4,Edgar forms data,Insiders,insd4_salary,insd4_salary,Base salary amount,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,amount base data edgar forms insd4_salary insiders insiders4 possible_direction salary unknown
insiders4,Edgar forms data,Insiders,insd4_stock_awards,insd4_stock_awards,Value of stock awards granted,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,awards data edgar forms granted insd4_stock_awards insiders insiders4 possible_direction stock unknown value
insiders4,Edgar forms data,Insiders,insd4_total,insd4_total,Total compensation amount,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,amount compensation data edgar forms insd4_total insiders insiders4 possible_direction total unknown
insiders4,Edgar forms data,Insiders,insd4_year,insd4_year,Reporting year for the compensation record,VECTOR,USA,TOP3000,1,0.569,,,2026-07-16T15:20:39,possible_direction=unknown,compensation data edgar forms insd4_year insiders insiders4 possible_direction record reporting unknown year
insiders4,Edgar forms data,Insiders,quarter_section_value,quarter_section_value,The value or content extracted from a specific quarterly report section.,VECTOR,USA,TOP3000,1,0.4395,,,2026-07-16T15:20:39,possible_direction=unknown,content data edgar extracted forms from insiders insiders4 possible_direction quarter_section_value quarterly report section specific unknown value
