dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
institutions20,Short Sale Volume Data,Institutions,aggregate_trade_share_count_regular_hours,aggregate_trade_share_count_regular_hours,"Total shares traded during regular market hours for the symbol on the reported facility, including both long and short trades (executed volume)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,aggregate_trade_share_count_regular_hours both data during executed facility hours including institutions institutions20 long market possible_direction regular reported sale shares short symbol total traded trades volume
institutions20,Short Sale Volume Data,Institutions,executed_short_position_share_sum,executed_short_position_share_sum,"Shares executed as short sales during regular market hours, including those marked short sale exempt",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,as data during executed executed_short_position_share_sum exempt hours including institutions institutions20 marked market possible_direction regular sale sales shares short those unknown volume
institutions20,Short Sale Volume Data,Institutions,exempt_short_trade_share_total,exempt_short_trade_share_total,Shares within ShortVolume executed under a short sale exemption during regular market hours,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,data during executed exempt_short_trade_share_total exemption hours institutions institutions20 market possible_direction regular sale shares short shortvolume under volume within
institutions20,Short Sale Volume Data,Institutions,inst20_ra_sev,inst20_ra_sev,No field description,MATRIX,USA,TOP3000,1,0.6673,,,2026-07-16T15:20:39,possible_direction=unknown,data description field inst20_ra_sev institutions institutions20 no possible_direction sale short unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_ra_sv,inst20_ra_sv,No field description,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,data description field inst20_ra_sv institutions institutions20 no possible_direction sale short unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_ra_tv,inst20_ra_tv,No field description,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,data description field inst20_ra_tv institutions institutions20 no possible_direction sale short unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_sq_market,inst20_sq_market,Reporting Facility identifier,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,data facility identifier inst20_sq_market institutions institutions20 possible_direction reporting sale short unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_sq_sev,inst20_sq_sev,"Total shares executed under a short sale exemption during regular trading hours, reported to the FINRA/Nasdaq TRF Carteret facility",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,carteret data during executed exemption facility finra hours inst20_sq_sev institutions institutions20 nasdaq possible_direction regular reported sale shares short total trading trf under unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_sq_sv,inst20_sq_sv,"Total shares executed as short sales during regular trading hours, including those marked as short sale exempt, reported to the FINRA/Nasdaq TRF Carteret facility",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,as carteret data during executed exempt facility finra hours including inst20_sq_sv institutions institutions20 marked nasdaq possible_direction regular reported sale sales shares short those total trading trf unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_sq_tv,inst20_sq_tv,"Total shares traded (all executions, short and long) during regular trading hours, reported to the FINRA/Nasdaq TRF Carteret facility",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,all carteret data during executions facility finra hours inst20_sq_tv institutions institutions20 long nasdaq possible_direction regular reported sale shares short total traded trading trf volume
institutions20,Short Sale Volume Data,Institutions,inst20_yx_market,inst20_yx_market,Reporting Facility identifier,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,data facility identifier inst20_yx_market institutions institutions20 possible_direction reporting sale short unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_yx_sev,inst20_yx_sev,Shares reported as short-sale exempt trades during regular trading hours on the FINRA/NYSE TRF (a subset of ShortVolume),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,as data during exempt finra hours inst20_yx_sev institutions institutions20 nyse possible_direction regular reported sale shares short shortvolume subset trades trading trf volume
institutions20,Short Sale Volume Data,Institutions,inst20_yx_sv,inst20_yx_sv,"Total shares reported as short sales during regular trading hours on the FINRA/NYSE TRF, including the subset executed under short-sale exemption",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,as data during executed exemption finra hours including inst20_yx_sv institutions institutions20 nyse possible_direction regular reported sale sales shares short subset total trading trf under unknown volume
institutions20,Short Sale Volume Data,Institutions,inst20_yx_tv,inst20_yx_tv,Total shares of all executed trades (short and long) during regular trading hours reported to the FINRA/NYSE TRF,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,all data during executed finra hours inst20_yx_tv institutions institutions20 long nyse possible_direction regular reported sale shares short total trades trading trf volume
institutions20,Short Sale Volume Data,Institutions,overall_executed_trade_share_amount,overall_executed_trade_share_amount,"Total shares traded during regular trading hours for the symbol and date at this facility, including both long and short trades",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,at both data date during facility hours including institutions institutions20 long overall_executed_trade_share_amount possible_direction regular sale shares short symbol this total traded trades trading volume
institutions20,Short Sale Volume Data,Institutions,short_exempt_transaction_share_count,short_exempt_transaction_share_count,Shares executed as short sale exempt during regular trading hours at this facility; a subset of ShortVolume,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,as at data during executed exempt facility hours institutions institutions20 possible_direction regular sale shares short short_exempt_transaction_share_count shortvolume subset this trading volume
institutions20,Short Sale Volume Data,Institutions,short_sale_executed_share_quantity,short_sale_executed_share_quantity,"Total shares executed as short sales during regular trading hours at this facility, including both exempt and non-exempt shorts",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,as at both data during executed exempt facility hours including institutions institutions20 non possible_direction regular sale sales shares short short_sale_executed_share_quantity shorts this total trading unknown volume
