dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
mfm_model_output,Multi Factor Model Universal Output,Risk,aerospace_defense_score,aerospace_defense_score,Score indicating exposure to aerospace and defense sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,aerospace aerospace_defense_score defense exposure factor indicating mfm_model_output model multi output possible_direction risk score sector universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,airline_industry_score,airline_industry_score,Daily exposure of each stock to the Airlines industry factor in the MFMCR universal risk model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,airline_industry_score airlines daily each exposure factor industry mfm_model_output mfmcr model multi output possible_direction risk stock universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,aluminum_steel_producers_score,aluminum_steel_producers_score,Score indicating exposure to aluminum and steel production sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,aluminum aluminum_steel_producers_score exposure factor indicating mfm_model_output model multi output possible_direction production risk score sector steel universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,apparel_accessories_score,apparel_accessories_score,Score reflecting exposure to apparel and accessories sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,accessories apparel apparel_accessories_score exposure factor mfm_model_output model multi output possible_direction reflecting risk score sector universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,automobile_manufacturing_score,automobile_manufacturing_score,Score reflecting exposure to automobile manufacturing sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,automobile automobile_manufacturing_score exposure factor manufacturing mfm_model_output model multi output possible_direction reflecting risk score sector universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,banking_services_score,banking_services_score,Daily stock exposures to the Banks industry factor,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,banking_services_score banks daily exposures factor industry mfm_model_output model multi output possible_direction risk stock universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,beverage_tobacco_score,beverage_tobacco_score,Score indicating exposure to beverage and tobacco sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beverage beverage_tobacco_score exposure factor indicating mfm_model_output model multi output possible_direction risk score sector tobacco universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,biotechnology_life_sciences_score,biotechnology_life_sciences_score,Score reflecting exposure to biotechnology and life sciences sector.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,biotechnology biotechnology_life_sciences_score exposure factor life mfm_model_output model multi output possible_direction reflecting risk sciences score sector universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,broad_market_factor_score_2,broad_market_factor_score_2,Daily stock exposures to the broad Market factor,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=quality,broad broad_market_factor_score_2 daily exposures factor market mfm_model_output model multi output possible_direction quality risk stock universal
mfm_model_output,Multi Factor Model Universal Output,Risk,building_products_score,building_products_score,Daily stock exposures to the Building Products industry factor,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,building building_products_score daily exposures factor industry mfm_model_output model multi output possible_direction products risk stock universal unknown
mfm_model_output,Multi Factor Model Universal Output,Risk,chemicals_sector_score,chemicals_sector_score,Daily stock exposures to the Chemicals industry factor,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,chemicals chemicals_sector_score daily exposures factor industry mfm_model_output model multi output possible_direction risk stock universal unknown
