dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
news87,Smart Conference call transcript data,Analyst,mws87_actinvoratioceopres,mws87_actinvoratioceopres,Number of words of CEO/number of words of executives in presentation,VECTOR,USA,TOP3000,1,0.6338,,,2026-07-16T15:20:39,possible_direction=analyst,analyst call ceo conference data executives mws87_actinvoratioceopres news87 number possible_direction presentation smart transcript words
news87,Smart Conference call transcript data,Analyst,mws87_actinvoratioceoqa,mws87_actinvoratioceoqa,Number of words spoken by CEO divided by number of words spoken by executives in Q&A.,VECTOR,USA,TOP3000,1,0.6293,,,2026-07-16T15:20:39,possible_direction=analyst,analyst by call ceo conference data divided executives mws87_actinvoratioceoqa news87 number possible_direction smart spoken transcript words
news87,Smart Conference call transcript data,Analyst,mws87_actinvoratiocfopres,mws87_actinvoratiocfopres,Number of words of CFO/number of words of executives in presentation,VECTOR,USA,TOP3000,1,0.5965,,,2026-07-16T15:20:39,possible_direction=analyst,analyst call cfo conference data executives mws87_actinvoratiocfopres news87 number possible_direction presentation smart transcript words
news87,Smart Conference call transcript data,Analyst,mws87_actinvoratiocfoqa,mws87_actinvoratiocfoqa,Number of words of CFO/number of words of executives in Q&A,VECTOR,USA,TOP3000,1,0.5919,,,2026-07-16T15:20:39,possible_direction=analyst,analyst call cfo conference data executives mws87_actinvoratiocfoqa news87 number possible_direction smart transcript words
news87,Smart Conference call transcript data,Analyst,mws87_analyst_ari_qa,mws87_analyst_ari_qa,The ARI score of Sell Side Analysts in Q_A,VECTOR,USA,TOP3000,1,0.7066,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts ari call conference data mws87_analyst_ari_qa news87 possible_direction q_a score sell side smart transcript
news87,Smart Conference call transcript data,Analyst,mws87_analyst_cli_qa,mws87_analyst_cli_qa,The CLI score of Sell Side Analysts in Q_A,VECTOR,USA,TOP3000,1,0.7066,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts call cli conference data mws87_analyst_cli_qa news87 possible_direction q_a score sell side smart transcript
news87,Smart Conference call transcript data,Analyst,mws87_analyst_dcs_qa,mws87_analyst_dcs_qa,The DCS score of Sell Side Analysts in Q_A,VECTOR,USA,TOP3000,1,0.7066,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts call conference data dcs mws87_analyst_dcs_qa news87 possible_direction q_a score sell side smart transcript
news87,Smart Conference call transcript data,Analyst,mws87_analyst_fkgl_qa,mws87_analyst_fkgl_qa,The FKGL score of sell side analysts in Q&A.,VECTOR,USA,TOP3000,1,0.7066,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts call conference data fkgl mws87_analyst_fkgl_qa news87 possible_direction score sell side smart transcript
news87,Smart Conference call transcript data,Analyst,mws87_analyst_forw_sent_qa,mws87_analyst_forw_sent_qa,The Forward Sentiment Score of Sell Side Analysts in Q_A,VECTOR,USA,TOP3000,1,0.5746,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts call conference data forward mws87_analyst_forw_sent_qa news87 possible_direction q_a score sell sentiment side smart transcript
news87,Smart Conference call transcript data,Analyst,mws87_analyst_fre_qa,mws87_analyst_fre_qa,The Flesch Reading Ease score of the sell-side analysts in Q&A,VECTOR,USA,TOP3000,1,0.7066,,,2026-07-16T15:20:39,possible_direction=analyst,analyst analysts call conference data ease flesch mws87_analyst_fre_qa news87 possible_direction reading score sell side smart transcript
