"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_average_sentence_length","headline_average_sentence_length","Average number of words per sentence in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_flesch_kincaid_score","headline_flesch_kincaid_score","Readability score of the headline based on the Flesch-Kincaid formula.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_flesch_readability_score","headline_flesch_readability_score","Readability score of the headline based on the Flesch formula.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_gunning_fog_index","headline_gunning_fog_index","Readability index of the headline based on the Gunning Fog formula.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentence_sentiment_average","headline_sentence_sentiment_average","Average sentiment score across all sentences in the headline.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentence_sentiment_maximum","headline_sentence_sentiment_maximum","Maximum sentiment score among all sentences in the headline.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentence_sentiment_median","headline_sentence_sentiment_median","Median sentiment score across all sentences in the headline.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentence_sentiment_minimum","headline_sentence_sentiment_minimum","Minimum sentiment score among all sentences in the headline.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentence_sentiment_variance","headline_sentence_sentiment_variance","Variance of sentiment scores across all sentences in the headline.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentiment_vader_score","headline_sentiment_vader_score","Overall sentiment score of the headline using the VADER model.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentiwordnet_negative_polarity","headline_sentiwordnet_negative_polarity","Negative polarity score of the headline text from SentiWordNet.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentiwordnet_neutral_polarity","headline_sentiwordnet_neutral_polarity","Neutral polarity score of the headline text from SentiWordNet.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_sentiwordnet_positive_polarity","headline_sentiwordnet_positive_polarity","Positive polarity score of the headline text from SentiWordNet.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_smog_readability_index","headline_smog_readability_index","Readability index of the headline based on the SMOG formula.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_stopword_frequency","headline_stopword_frequency","Frequency of stop words found in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_subjectivity_score","headline_subjectivity_score","Degree of subjectivity expressed in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_textblob_sentiment_score","headline_textblob_sentiment_score","Overall sentiment score of the headline using the TextBlob model.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=sentiment"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_total_sentence_count","headline_total_sentence_count","Number of sentences present in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_unique_word_count","headline_unique_word_count","Number of unique words present in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_vader_negative_polarity","headline_vader_negative_polarity","Negative polarity score of the headline text using the VADER model.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_vader_neutral_polarity","headline_vader_neutral_polarity","Neutral polarity score of the headline text using the VADER model.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_vader_positive_polarity","headline_vader_positive_polarity","Positive polarity score of the headline text using the VADER model.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
"news_sentiment_nlp","News Sentiment Signal Features","Other","headline_word_count_total","headline_word_count_total","Total number of words in the headline text.","VECTOR","USA","TOP3000","1","0.995","","","2026-07-16T15:20:39","possible_direction=unknown"
