dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,news_article_count,news_article_count,Total number of news articles considered for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics articles considered entity news news_article_count news_sentiment_transfer number possible_direction sentiment total transferred
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,news_sentiment_score,news_sentiment_score,Overall sentiment value derived from news articles for an entity.,VECTOR,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics articles derived entity from news news_sentiment_score news_sentiment_transfer overall possible_direction sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,normalized_news_article_count,normalized_news_article_count,Number of news articles normalized for comparison across entities.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,across analytics articles comparison entities news news_sentiment_transfer normalized normalized_news_article_count number possible_direction sentiment transferred
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_average,primary_sentiment_average,Mean value of the primary sentiment scores for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity mean news news_sentiment_transfer possible_direction primary primary_sentiment_average scores sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_maximum,primary_sentiment_maximum,Maximum value observed in the primary sentiment scores.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics maximum news news_sentiment_transfer observed possible_direction primary primary_sentiment_maximum scores sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_middle_value,primary_sentiment_middle_value,Median value of the primary sentiment scores for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity median news news_sentiment_transfer possible_direction primary primary_sentiment_middle_value scores sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_minimum,primary_sentiment_minimum,Minimum value observed in the primary sentiment scores.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics minimum news news_sentiment_transfer observed possible_direction primary primary_sentiment_minimum scores sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_skewness_2,primary_sentiment_skewness_2,Skewness statistic of the primary sentiment values for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity news news_sentiment_transfer possible_direction primary primary_sentiment_skewness_2 sentiment skewness statistic transferred values
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_total_2,primary_sentiment_total_2,Sum of all primary sentiment values for the entity over the period.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,all analytics entity news news_sentiment_transfer over period possible_direction primary primary_sentiment_total_2 sentiment sum transferred values
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,primary_sentiment_value,primary_sentiment_value,Main sentiment score calculated for the entity from news data.,VECTOR,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics calculated data entity from main news news_sentiment_transfer possible_direction primary_sentiment_value score sentiment transferred
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_average,secondary_sentiment_average,Mean value of the secondary sentiment scores for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity mean news news_sentiment_transfer possible_direction scores secondary secondary_sentiment_average sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_maximum,secondary_sentiment_maximum,Maximum value observed in the secondary sentiment scores.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics maximum news news_sentiment_transfer observed possible_direction scores secondary secondary_sentiment_maximum sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_middle_value,secondary_sentiment_middle_value,Median value of the secondary sentiment scores for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity median news news_sentiment_transfer possible_direction scores secondary secondary_sentiment_middle_value sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_minimum,secondary_sentiment_minimum,Minimum value observed in the secondary sentiment scores.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics minimum news news_sentiment_transfer observed possible_direction scores secondary secondary_sentiment_minimum sentiment transferred value
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_skewness_2,secondary_sentiment_skewness_2,Skewness statistic of the secondary sentiment values for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics entity news news_sentiment_transfer possible_direction secondary secondary_sentiment_skewness_2 sentiment skewness statistic transferred values
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_total_2,secondary_sentiment_total_2,Sum of all secondary sentiment values for the entity over the period.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,all analytics entity news news_sentiment_transfer over period possible_direction secondary secondary_sentiment_total_2 sentiment sum transferred values
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,secondary_sentiment_value,secondary_sentiment_value,Secondary sentiment score calculated for the entity from news data.,VECTOR,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics calculated data entity from news news_sentiment_transfer possible_direction score secondary secondary_sentiment_value sentiment transferred
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,sentiment_distribution_skewness_2,sentiment_distribution_skewness_2,Skewness of the distribution of sentiment scores for the entity.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics distribution entity news news_sentiment_transfer possible_direction scores sentiment sentiment_distribution_skewness_2 skewness transferred
news_sentiment_transfer,Transferred News Sentiment Analytics,Sentiment,sentiment_score_average,sentiment_score_average,Average sentiment score for the entity over the period.,MATRIX,USA,TOP3000,1,0.947,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics average entity news news_sentiment_transfer over period possible_direction score sentiment sentiment_score_average transferred
