dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
option3,Equity Options Moneyness Aggregates,Option,opt3_openintecallatm,opt3_openintecallatm,Daily aggregated open interest for at-the-money call options for the stock,MATRIX,USA,TOP3000,1,0.9439,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates at call daily equity interest money moneyness open opt3_openintecallatm option option3 options possible_direction stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_openintecallitm,opt3_openintecallitm,Daily aggregated open interest for in-the-money call options for the stock,MATRIX,USA,TOP3000,1,0.9298,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates call daily equity interest money moneyness open opt3_openintecallitm option option3 options possible_direction stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_openintecallotm,opt3_openintecallotm,Daily aggregated open interest for out-of-the-money call options for the stock,MATRIX,USA,TOP3000,1,0.9487,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates call daily equity interest money moneyness open opt3_openintecallotm option option3 options out possible_direction stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_openinteputatm,opt3_openinteputatm,Daily aggregated open interest for at-the-money put options for the stock,MATRIX,USA,TOP3000,1,0.7257,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates at daily equity interest money moneyness open opt3_openinteputatm option option3 options possible_direction put stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_openinteputitm,opt3_openinteputitm,Daily aggregated open interest for in-the-money put options for the stock,MATRIX,USA,TOP3000,1,0.7288,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates daily equity interest money moneyness open opt3_openinteputitm option option3 options possible_direction put stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_openinteputotm,opt3_openinteputotm,Daily aggregated open interest for out-of-the-money put options for the stock,MATRIX,USA,TOP3000,1,0.7269,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated aggregates daily equity interest money moneyness open opt3_openinteputotm option option3 options out possible_direction put stock unknown
option3,Equity Options Moneyness Aggregates,Option,opt3_volcallatm,opt3_volcallatm,Implied volatility of at-the-money call options,MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates at call equity implied money moneyness opt3_volcallatm option option3 options possible_direction unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volcallitm,opt3_volcallitm,Implied volatility of in-the-money call options,MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates call equity implied money moneyness opt3_volcallitm option option3 options possible_direction unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volcallotma,opt3_volcallotma,Implied volatility of out-of-the-money call options (ask),MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates ask call equity implied money moneyness opt3_volcallotma option option3 options out possible_direction unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volcallotmb,opt3_volcallotmb,Implied volatility of out-of-the-money call options (bid),MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates bid call equity implied money moneyness opt3_volcallotmb option option3 options out possible_direction unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volputatm,opt3_volputatm,Implied volatility of at-the-money put options,MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates at equity implied money moneyness opt3_volputatm option option3 options possible_direction put unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volputitm,opt3_volputitm,Implied volatility of in-the-money put options,MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates equity implied money moneyness opt3_volputitm option option3 options possible_direction put unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volputotma,opt3_volputotma,Implied volatility of out-of-the-money put options (ask),MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates ask equity implied money moneyness opt3_volputotma option option3 options out possible_direction put unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volputotmb,opt3_volputotmb,Implied volatility of out-of-the-money put options (bid),MATRIX,USA,TOP3000,1,0.9493,,,2026-07-16T15:20:39,possible_direction=unknown,aggregates bid equity implied money moneyness opt3_volputotmb option option3 options out possible_direction put unknown volatility
option3,Equity Options Moneyness Aggregates,Option,opt3_volumecallatm,opt3_volumecallatm,Daily aggregated traded volume for at-the-money call options for the stock,MATRIX,USA,TOP3000,1,0.9439,,,2026-07-16T15:20:39,possible_direction=volume,aggregated aggregates at call daily equity money moneyness opt3_volumecallatm option option3 options possible_direction stock traded volume
option3,Equity Options Moneyness Aggregates,Option,opt3_volumecallitm,opt3_volumecallitm,Daily aggregated traded volume for in-the-money call options for the stock,MATRIX,USA,TOP3000,1,0.9298,,,2026-07-16T15:20:39,possible_direction=volume,aggregated aggregates call daily equity money moneyness opt3_volumecallitm option option3 options possible_direction stock traded volume
