dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_contract_premium,atm_call_option_contract_premium,Premium price (cost) of at-the-money (ATM) call option for the specified index variant,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm atm_call_option_contract_premium call chart cost image index model money option option_chart_model possible_direction prediction premium price return specified unknown variant
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_contract_premium_2,atm_call_option_contract_premium_2,Premium paid for the at-the-money call option in the standardized set.,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_contract_premium_2 call chart image model money option option_chart_model paid possible_direction prediction premium return set standardized unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_index0,atm_call_option_delta_index0,"The delta Greek value of at-the-money call options, representing the sensitivity of the call option price to changes in the underlying stock price, calculated for the ATM standard index variant 0",MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm atm_call_option_delta_index0 calculated call changes chart delta greek image index model money option option_chart_model options possible_direction prediction price representing return sensitivity standard stock underlying unknown value variant
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_index0_2,atm_call_option_delta_index0_2,D1 as-of option-implied Delta (rate of change of option price w.r.t underlying price) for ATM call option within the ATM_Std7_index0 engineered feature set,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,as atm atm_call_option_delta_index0_2 atm_std7_index0 call change chart d1 delta engineered feature image implied model option option_chart_model possible_direction prediction price rate return set underlying unknown within
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_maximum,atm_call_option_delta_maximum,Maximum delta sensitivity for at-the-money call options in the sample.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_maximum call chart delta image maximum model money option option_chart_model options possible_direction prediction return sample sensitivity unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_median,atm_call_option_delta_median,"The median (50th percentile) value of the option-implied Delta for at-the-money call options, representing the sensitivity of option price to underlying asset price changes",MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=fundamental,50th asset at atm_call_option_delta_median call changes chart delta fundamental image implied median model money option option_chart_model options percentile possible_direction prediction price representing return sensitivity underlying value
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_minimum,atm_call_option_delta_minimum,Minimum value of delta sensitivity for at-the-money call options in the sample.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_minimum call chart delta image minimum model money option option_chart_model options possible_direction prediction return sample sensitivity unknown value
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_quartile_1,atm_call_option_delta_quartile_1,First quartile value of delta sensitivity for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_quartile_1 call chart delta first image model money option option_chart_model options possible_direction prediction quartile return sensitivity unknown value
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_quartile_3,atm_call_option_delta_quartile_3,Third quartile value of delta sensitivity for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_quartile_3 call chart delta image model money option option_chart_model options possible_direction prediction quartile return sensitivity third unknown value
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_sensitivity,atm_call_option_delta_sensitivity,Delta sensitivity for the at-the-money call option.,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_sensitivity call chart delta image model money option option_chart_model possible_direction prediction return sensitivity unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_sensitivity_2,atm_call_option_delta_sensitivity_2,Delta of the at-the-money (ATM) call option based on option data variant Std2_index0; represents sensitivity of option price to underlying stock price changes,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm atm_call_option_delta_sensitivity_2 based call changes chart data delta image model money option option_chart_model possible_direction prediction price represents return sensitivity std2_index0 stock underlying unknown variant
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_std2_index2,atm_call_option_delta_std2_index2,"Delta of the at-the-money call option, representing sensitivity of the option price to underlying stock price changes, computed with Std2 and index2 variant settings",MATRIX,USA,TOP3000,1,0.9604,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_std2_index2 call changes chart computed delta image index2 model money option option_chart_model possible_direction prediction price representing return sensitivity settings std2 stock underlying unknown variant
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_std7_index2,atm_call_option_delta_std7_index2,The delta (sensitivity to underlying price) of the at-the-money call option as recorded at previous close in the ATM_Std7_index2 feature module,MATRIX,USA,TOP3000,1,0.9604,,,2026-07-16T15:20:39,possible_direction=unknown,as at atm_call_option_delta_std7_index2 atm_std7_index2 call chart close delta feature image model module money option option_chart_model possible_direction prediction previous price recorded return sensitivity underlying unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_delta_std_index2,atm_call_option_delta_std_index2,Delta Greek value (sensitivity of option price to underlying price change) for at-the-money call option in the ATM_Std_index2 feature module,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_delta_std_index2 atm_std_index2 call change chart delta feature greek image model module money option option_chart_model possible_direction prediction price return sensitivity underlying unknown value
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price,atm_call_option_forward_price,Forward price of the underlying for the at-the-money call option.,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_forward_price call chart forward image model money option option_chart_model possible_direction prediction price return underlying unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_2,atm_call_option_forward_price_2,Projected price of the underlying asset at option expiration for the at-the-money call.,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=fundamental,asset at atm_call_option_forward_price_2 call chart expiration fundamental image model money option option_chart_model possible_direction prediction price projected return underlying
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_index0,atm_call_option_forward_price_index0,Forward price for at-the-money call options at index0.,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_forward_price_index0 call chart forward image index0 model money option option_chart_model options possible_direction prediction price return unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_index0_2,atm_call_option_forward_price_index0_2,Forward price for at-the-money call options at index0 (Std7 variant).,MATRIX,USA,TOP3000,1,0.9605,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_forward_price_index0_2 call chart forward image index0 model money option option_chart_model options possible_direction prediction price return std7 unknown variant
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_maximum,atm_call_option_forward_price_maximum,Maximum projected price of the underlying asset at option expiration for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=fundamental,asset at atm_call_option_forward_price_maximum call chart expiration fundamental image maximum model money option option_chart_model options possible_direction prediction price projected return underlying
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_median,atm_call_option_forward_price_median,Median projected price of the underlying asset at option expiration for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=fundamental,asset at atm_call_option_forward_price_median call chart expiration fundamental image median model money option option_chart_model options possible_direction prediction price projected return underlying
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_minimum,atm_call_option_forward_price_minimum,Minimum projected underlying price at expiration for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_forward_price_minimum call chart expiration image minimum model money option option_chart_model options possible_direction prediction price projected return underlying unknown
option_chart_model,Option Chart Image Return Prediction,Model,atm_call_option_forward_price_quartile_1,atm_call_option_forward_price_quartile_1,First quartile value of projected underlying price at expiration for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9603,,,2026-07-16T15:20:39,possible_direction=unknown,at atm_call_option_forward_price_quartile_1 call chart expiration first image model money option option_chart_model options possible_direction prediction price projected quartile return underlying unknown value
