"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_broker_concentration_index","exempt_gbda_broker_concentration_index","Summation of Global Broker Dealers' market share squared. For more information, see Frequently Asked Questions.","MATRIX","USA","TOP3000","1","0.9499","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_distinct_broker_count","exempt_gbda_distinct_broker_count","Number of active brokers in the GBDA cohort for the Sell Exempt side on that date","MATRIX","USA","TOP3000","1","0.9786","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_group_traded_shares","exempt_gbda_group_traded_shares","Total cleared share volume for the GBDA cohort on the Sell Exempt side for the trade date","MATRIX","USA","TOP3000","1","0.9786","","","2026-07-16T15:20:39","possible_direction=volume"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_group_vwap","exempt_gbda_group_vwap","Volume-weighted average price for the GBDA cohort on the Sell Exempt side for the day; currency units","MATRIX","USA","TOP3000","1","0.9786","","","2026-07-16T15:20:39","possible_direction=volume"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_second_broker_share_pct","exempt_gbda_second_broker_share_pct","Anonymous market share percentage of the second most active Clearing ID in this category.","MATRIX","USA","TOP3000","1","0.978","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_third_broker_share_pct","exempt_gbda_third_broker_share_pct","Anonymous market share percentage of the third most active Clearing ID in this category.","MATRIX","USA","TOP3000","1","0.978","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_gbda_top_broker_share_pct","exempt_gbda_top_broker_share_pct","Anonymous market share percentage of the most active Clearing ID in this category.","MATRIX","USA","TOP3000","1","0.978","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_industry_broker_concentration_index","exempt_industry_broker_concentration_index","Summation of Industry brokers' market shares squared. For more information, see Calculation Specifics on page 14.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_industry_distinct_broker_count","exempt_industry_distinct_broker_count","Number of active brokers in the Industry cohort for the Sell Exempt side on that date","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=analyst"
"other143","Transaction Volume Data for Equity","Other","exempt_industry_group_traded_shares","exempt_industry_group_traded_shares","Total cleared share volume for the Industry cohort on the Sell Exempt side for the trade date","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
