"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"pv20","Daily Spot and Cross Rate Data","Price Volume","adv20_usd_capped_100m","adv20_usd_capped_100m","Average daily traded value in USD, capped at 100 million.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","adv20_usd_capped_300m","adv20_usd_capped_300m","20-day average daily traded value in USD, capped at 300 million.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","adv_alternative","adv_alternative","Alternative calculation of average daily traded volume.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","adv_usd_alternative","adv_usd_alternative","Alternative calculation of average daily traded value in USD.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","alternative_slippage_0025","alternative_slippage_0025","Alternative estimate of transaction cost slippage with a 0.025 parameter.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=analyst"
"pv20","Daily Spot and Cross Rate Data","Price Volume","alternative_slippage_2","alternative_slippage_2","Alternative estimate of transaction cost slippage.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=analyst"
"pv20","Daily Spot and Cross Rate Data","Price Volume","average_daily_value_20d_usd","average_daily_value_20d_usd","Average daily traded value in USD over the past 20 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","average_daily_volume_20d","average_daily_volume_20d","Average daily trading volume over the past 20 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","barra_ustm0_top1000_specific_return","barra_ustm0_top1000_specific_return","Specific return component for securities in the top 1000 universe as per the Barra model.","MATRIX","USA","TOP3000","1","0.356","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","barra_ustm0_top3000_specific_return","barra_ustm0_top3000_specific_return","Specific return component for securities in the top 3000 universe as per the Barra model.","MATRIX","USA","TOP3000","1","0.9628","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ccmp_250d","beta_ccmp_250d","Beta of the security to the NASDAQ Composite Index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_dol_250d","beta_dol_250d","Beta of the asset to the DOL index over a 250-day period.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_gld_250d","beta_gld_250d","Beta of the security to the SPDR Gold Shares ETF over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_hui_250d","beta_hui_250d","Beta of the security to the NYSE Arca Gold BUGS Index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_indu_250d","beta_indu_250d","Beta of the security to the Dow Jones Industrial Average over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_market_60d","beta_market_60d","Beta of the security to the broad market index over the past 60 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=quality"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ray_250d","beta_ray_250d","Beta of the security to the RAY index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ray_60d","beta_ray_60d","Beta of the security to the RAY index over the past 60 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_spx_250d","beta_spx_250d","Beta of the security to the S&P 500 Index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_spx_60d","beta_spx_60d","Beta of the asset to the SPX index over a 60-day period.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ung_125d_normalized","beta_ung_125d_normalized","Normalized beta of the asset to the UNG index over 125 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ung_250d","beta_ung_250d","Beta of the asset to the UNG index over a 250-day period.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_ung_60d","beta_ung_60d","Beta of the security to the US Natural Gas Fund over the past 60 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_uso_125d","beta_uso_125d","Beta of the security to the US Oil ETF over the past 125 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_uso_125d_normalized","beta_uso_125d_normalized","Normalized beta of the asset to the USO index over 125 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_vix_125d","beta_vix_125d","Beta of the security to the VIX volatility index over the past 125 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_vix_125d_normalized","beta_vix_125d_normalized","Normalized beta of the asset to the VIX index over 125 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_vix_250d","beta_vix_250d","Beta of the security to the VIX volatility index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_vix_60d","beta_vix_60d","Beta of the security to the VIX volatility index over the past 60 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_xoi_250d","beta_xoi_250d","Beta of the security to the NYSE Arca Oil Index over the past 250 days.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","beta_xoi_60d","beta_xoi_60d","Beta of the asset to the XOI index over a 60-day period.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=fundamental"
"pv20","Daily Spot and Cross Rate Data","Price Volume","close_to_open_return","close_to_open_return","Return from previous close to current open price.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"pv20","Daily Spot and Cross Rate Data","Price Volume","crowding_top200_specific_return","crowding_top200_specific_return","Specific return for the top 200 assets by crowding measure.","MATRIX","USA","TOP3000","1","0.069","","","2026-07-16T15:20:39","possible_direction=fundamental"
