dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
pv63,Order Book Dataset,Price Volume,pv63_d1_bain,pv63_d1_bain,Number of aggressive buy trades during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive book buy dataset day during number order possible_direction price pv63 pv63_d1_bain trades volume
pv63,Order Book Dataset,Price Volume,pv63_d1_iaba,pv63_d1_iaba,Dollar amount (USD) of aggressive buy trades during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive amount book buy dataset day dollar during order possible_direction price pv63 pv63_d1_iaba trades usd volume
pv63,Order Book Dataset,Price Volume,pv63_d1_iasa,pv63_d1_iasa,Dollar amount (USD) of aggressive sell trades during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive amount book dataset day dollar during order possible_direction price pv63 pv63_d1_iasa sell trades usd volume
pv63,Order Book Dataset,Price Volume,pv63_d1_nias,pv63_d1_nias,Number of aggressive sell trades during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive book dataset day during number order possible_direction price pv63 pv63_d1_nias sell trades volume
pv63,Order Book Dataset,Price Volume,pv63_d1_nibp,pv63_d1_nibp,Number of bid-put (order additions at the best bid) events during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,additions at best bid book dataset day during events number order possible_direction price put pv63 pv63_d1_nibp volume
pv63,Order Book Dataset,Price Volume,pv63_d1_nibw,pv63_d1_nibw,Number of bid-withdraw (order removals at the best bid) events during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,at best bid book dataset day during events number order possible_direction price pv63 pv63_d1_nibw removals volume withdraw
pv63,Order Book Dataset,Price Volume,pv63_d1_pain,pv63_d1_pain,Number of ask-put (order additions at the best ask) events during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,additions ask at best book dataset day during events number order possible_direction price put pv63 pv63_d1_pain volume
pv63,Order Book Dataset,Price Volume,pv63_d1_ptsl,pv63_d1_ptsl,"Last traded price for the day (last 1-minute price), in USD",MATRIX,USA,TOP3000,1,0.9825,,,2026-07-16T15:20:39,possible_direction=volume,book dataset day last minute order possible_direction price pv63 pv63_d1_ptsl traded usd volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vbai,pv63_d1_vbai,Total shares executed by aggressive buyers (lifting the ask) during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive ask book buyers by dataset day during executed lifting order possible_direction price pv63 pv63_d1_vbai shares total volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vpai,pv63_d1_vpai,Total shares added to the best ask during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,added ask best book dataset day during order possible_direction price pv63 pv63_d1_vpai shares total volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vpbi,pv63_d1_vpbi,Total shares added to the best bid during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,added best bid book dataset day during order possible_direction price pv63 pv63_d1_vpbi shares total volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vsai,pv63_d1_vsai,Total shares executed by aggressive sellers (hitting the bid) during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,aggressive bid book by dataset day during executed hitting order possible_direction price pv63 pv63_d1_vsai sellers shares total volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vtni,pv63_d1_vtni,Total shares traded during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,book dataset day during order possible_direction price pv63 pv63_d1_vtni shares total traded volume
pv63,Order Book Dataset,Price Volume,pv63_d1_vwai,pv63_d1_vwai,Total shares withdrawn from the best ask during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,ask best book dataset day during from order possible_direction price pv63 pv63_d1_vwai shares total volume withdrawn
pv63,Order Book Dataset,Price Volume,pv63_d1_vwbi,pv63_d1_vwbi,Total shares withdrawn from the best bid during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,best bid book dataset day during from order possible_direction price pv63 pv63_d1_vwbi shares total volume withdrawn
pv63,Order Book Dataset,Price Volume,pv63_d1_wain,pv63_d1_wain,Number of ask-withdraw (order removals at the best ask) events during the day,MATRIX,USA,TOP3000,1,0.9853,,,2026-07-16T15:20:39,possible_direction=volume,ask at best book dataset day during events number order possible_direction price pv63 pv63_d1_wain removals volume withdraw
