dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
pv_tech_indicators,Price Volume Technical Indicators,Model,momentum_shift_indicator,momentum_shift_indicator,An indicator for shifts in price momentum.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicator indicators model momentum momentum_shift_indicator possible_direction price pv_tech_indicators shifts technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,momentum_strength_index,momentum_strength_index,An index measuring the strength of recent price momentum.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,index indicators measuring model momentum momentum_strength_index possible_direction price pv_tech_indicators recent strength technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_acceleration_factor,price_acceleration_factor,A factor quantifying the acceleration of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,acceleration changes factor indicators model possible_direction price price_acceleration_factor pv_tech_indicators quantifying technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_acceleration_index,price_acceleration_index,An index measuring the acceleration of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,acceleration changes index indicators measuring model possible_direction price price_acceleration_index pv_tech_indicators technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_acceleration_score,price_acceleration_score,A score measuring the acceleration of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,acceleration changes indicators measuring model possible_direction price price_acceleration_score pv_tech_indicators score technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_change_index,price_change_index,An index measuring the magnitude of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes index indicators magnitude measuring model possible_direction price price_change_index pv_tech_indicators technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_change_indicator,price_change_indicator,An indicator for significant changes in price.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes indicator indicators model possible_direction price price_change_indicator pv_tech_indicators significant technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_change_intensity,price_change_intensity,An intensity score for recent price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes indicators intensity model possible_direction price price_change_intensity pv_tech_indicators recent score technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_change_score,price_change_score,A score measuring the magnitude of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes indicators magnitude measuring model possible_direction price price_change_score pv_tech_indicators score technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_fluctuation_index,price_fluctuation_index,An index quantifying the degree of price fluctuations.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,degree fluctuations index indicators model possible_direction price price_fluctuation_index pv_tech_indicators quantifying technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_fluctuation_score,price_fluctuation_score,A score quantifying the degree of price fluctuations.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,degree fluctuations indicators model possible_direction price price_fluctuation_score pv_tech_indicators quantifying score technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_momentum_factor,price_momentum_factor,A factor measuring the momentum of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes factor indicators measuring model momentum possible_direction price price_momentum_factor pv_tech_indicators technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_momentum_index,price_momentum_index,An index measuring the momentum of price changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes index indicators measuring model momentum possible_direction price price_momentum_index pv_tech_indicators technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_movement_factor,price_movement_factor,A factor quantifying the movement in price over a period.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,factor indicators model movement over period possible_direction price price_movement_factor pv_tech_indicators quantifying technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_movement_index,price_movement_index,An index quantifying the movement in price.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,index indicators model movement possible_direction price price_movement_index pv_tech_indicators quantifying technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_movement_score,price_movement_score,A score quantifying the movement in price.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicators model movement possible_direction price price_movement_score pv_tech_indicators quantifying score technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_reversal_factor,price_reversal_factor,A factor indicating the likelihood of price reversals.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,factor indicating indicators likelihood model possible_direction price price_reversal_factor pv_tech_indicators reversals technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_reversal_index,price_reversal_index,An index indicating the likelihood of price reversals.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,index indicating indicators likelihood model possible_direction price price_reversal_index pv_tech_indicators reversals technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_reversal_signal,price_reversal_signal,A signal suggesting a potential reversal in price direction.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,direction indicators model possible_direction potential price price_reversal_signal pv_tech_indicators reversal signal suggesting technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_spike_factor,price_spike_factor,A factor indicating sudden spikes in price.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,factor indicating indicators model possible_direction price price_spike_factor pv_tech_indicators spikes sudden technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_spike_indicator,price_spike_indicator,An indicator for sudden spikes in price.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicator indicators model possible_direction price price_spike_indicator pv_tech_indicators spikes sudden technical unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_trend_factor,price_trend_factor,A factor indicating the direction and strength of price trends.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,direction factor indicating indicators model possible_direction price price_trend_factor pv_tech_indicators strength technical trends unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_trend_index,price_trend_index,An index representing the direction and strength of price trends.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,direction index indicators model possible_direction price price_trend_index pv_tech_indicators representing strength technical trends unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_trend_indicator,price_trend_indicator,An indicator for the direction and strength of price trends.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,direction indicator indicators model possible_direction price price_trend_indicator pv_tech_indicators strength technical trends unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_trend_score,price_trend_score,A score quantifying the current price trend.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,current indicators model possible_direction price price_trend_score pv_tech_indicators quantifying score technical trend unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_variation_factor,price_variation_factor,A factor representing the variation in price over time.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,factor indicators model over possible_direction price price_variation_factor pv_tech_indicators representing technical time unknown variation volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_variation_index,price_variation_index,An index representing the variation in price over time.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,index indicators model over possible_direction price price_variation_index pv_tech_indicators representing technical time unknown variation volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_variation_score,price_variation_score,A score representing the variation in price over time.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicators model over possible_direction price price_variation_score pv_tech_indicators representing score technical time unknown variation volume
pv_tech_indicators,Price Volume Technical Indicators,Model,price_volatility_score,price_volatility_score,A score representing the volatility of price movements.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicators model movements possible_direction price price_volatility_score pv_tech_indicators representing score technical unknown volatility volume
pv_tech_indicators,Price Volume Technical Indicators,Model,relative_strength_measure,relative_strength_measure,A measure of the relative strength of price changes over time.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,changes indicators measure model over possible_direction price pv_tech_indicators relative relative_strength_measure strength technical time unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,short_term_trend_score,short_term_trend_score,A score indicating the short-term trend in price data.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,data indicating indicators model possible_direction price pv_tech_indicators score short short_term_trend_score technical term trend unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,trend_direction_factor,trend_direction_factor,A factor indicating the direction of the current price trend.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,current direction factor indicating indicators model possible_direction price pv_tech_indicators technical trend trend_direction_factor unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,trend_reversal_score,trend_reversal_score,A score indicating the likelihood of a trend reversal.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,indicating indicators likelihood model possible_direction price pv_tech_indicators reversal score technical trend trend_reversal_score unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,trend_strength_score,trend_strength_score,A score representing the strength of the current price trend.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,current indicators model possible_direction price pv_tech_indicators representing score strength technical trend trend_strength_score unknown volume
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_acceleration_index,volume_acceleration_index,An index measuring the acceleration of trading volume changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,acceleration changes index indicators measuring model possible_direction price pv_tech_indicators technical trading volume volume_acceleration_index
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_acceleration_score,volume_acceleration_score,A score measuring the acceleration of trading volume changes.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,acceleration changes indicators measuring model possible_direction price pv_tech_indicators score technical trading volume volume_acceleration_score
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_activity_ratio,volume_activity_ratio,A ratio reflecting the level of trading activity based on volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,activity based indicators level model possible_direction price pv_tech_indicators ratio reflecting technical trading volume volume_activity_ratio
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_change_indicator,volume_change_indicator,An indicator for significant changes in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,changes indicator indicators model possible_direction price pv_tech_indicators significant technical trading volume volume_change_indicator
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_change_intensity,volume_change_intensity,An intensity score for changes in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,changes indicators intensity model possible_direction price pv_tech_indicators score technical trading volume volume_change_intensity
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_fluctuation_index,volume_fluctuation_index,An index quantifying fluctuations in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,fluctuations index indicators model possible_direction price pv_tech_indicators quantifying technical trading volume volume_fluctuation_index
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_fluctuation_score,volume_fluctuation_score,A score quantifying the degree of volume fluctuations.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,degree fluctuations indicators model possible_direction price pv_tech_indicators quantifying score technical volume volume_fluctuation_score
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_momentum_factor,volume_momentum_factor,A factor measuring the momentum in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,factor indicators measuring model momentum possible_direction price pv_tech_indicators technical trading volume volume_momentum_factor
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_momentum_score,volume_momentum_score,A score representing the momentum in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,indicators model momentum possible_direction price pv_tech_indicators representing score technical trading volume volume_momentum_score
pv_tech_indicators,Price Volume Technical Indicators,Model,volume_movement_factor,volume_movement_factor,A factor quantifying the movement in trading volume.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,factor indicators model movement possible_direction price pv_tech_indicators quantifying technical trading volume volume_movement_factor
