dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2dts_gen_165,snt21_2dts_gen_165,Standard deviation of negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data deviation negative possible_direction score scores sentiment sentiment21 snt21_2dts_gen_165 standard
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2dts_sop_168,snt21_2dts_sop_168,Standard deviation of positive sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data deviation positive possible_direction score scores sentiment sentiment21 snt21_2dts_sop_168 standard
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2dts_tuen_149,snt21_2dts_tuen_149,Standard deviation of neutral sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data deviation neutral possible_direction score scores sentiment sentiment21 snt21_2dts_tuen_149 standard
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_conf_low,snt21_2neg_conf_low,Lower bound of the confidence interval for the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data interval lower measure modules negative possible_direction score sentiment sentiment21 snt21_2neg_conf_low usa
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_conf_low_159,snt21_2neg_conf_low_159,Lower confidence bound for negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data lower negative possible_direction score scores sentiment sentiment21 snt21_2neg_conf_low_159
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_conf_up,snt21_2neg_conf_up,Upper bound of the confidence interval for the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data interval measure modules negative possible_direction score sentiment sentiment21 snt21_2neg_conf_up upper usa
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_conf_up_166,snt21_2neg_conf_up_166,Upper confidence bound for negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data negative possible_direction score scores sentiment sentiment21 snt21_2neg_conf_up_166 upper
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_max,snt21_2neg_max,Maximum value of the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data maximum measure modules negative possible_direction score sentiment sentiment21 snt21_2neg_max usa value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_max_164,snt21_2neg_max_164,Maximum value of negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data maximum negative possible_direction score scores sentiment sentiment21 snt21_2neg_max_164 value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_mean,snt21_2neg_mean,Mean value of the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data mean measure modules negative possible_direction score sentiment sentiment21 snt21_2neg_mean usa value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_mean_155,snt21_2neg_mean_155,Mean value of negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data mean negative possible_direction score scores sentiment sentiment21 snt21_2neg_mean_155 value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_median,snt21_2neg_median,Median value of the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data measure median modules negative possible_direction score sentiment sentiment21 snt21_2neg_median usa value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_median_161,snt21_2neg_median_161,Median value of negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data median negative possible_direction score scores sentiment sentiment21 snt21_2neg_median_161 value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_min,snt21_2neg_min,Minimum value of the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data measure minimum modules negative possible_direction score sentiment sentiment21 snt21_2neg_min usa value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_min_148,snt21_2neg_min_148,Minimum value of negative sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data minimum negative possible_direction score scores sentiment sentiment21 snt21_2neg_min_148 value
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neg_std,snt21_2neg_std,Standard deviation of the negative sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai data deviation measure modules negative possible_direction score sentiment sentiment21 snt21_2neg_std standard usa
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neut_conf_low,snt21_2neut_conf_low,Lower bound of the confidence interval for the neutral sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data interval lower measure modules neutral possible_direction score sentiment sentiment21 snt21_2neut_conf_low usa
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neut_conf_low_156,snt21_2neut_conf_low_156,Lower confidence bound for neutral sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data lower neutral possible_direction score scores sentiment sentiment21 snt21_2neut_conf_low_156
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neut_conf_up,snt21_2neut_conf_up,Upper bound of the confidence interval for the neutral sentiment measure in USA modules,MATRIX,USA,TOP3000,1,0.9996,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data interval measure modules neutral possible_direction score sentiment sentiment21 snt21_2neut_conf_up upper usa
sentiment21,AI Sentiment Score Data,Sentiment,snt21_2neut_conf_up_162,snt21_2neut_conf_up_162,Upper confidence bound for neutral sentiment scores.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai bound confidence data neutral possible_direction score scores sentiment sentiment21 snt21_2neut_conf_up_162 upper
