"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_short_volume","actual_month_short_volume","Calendar-month aligned count of short sale trade events aggregated across all venues for a specific security","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_short_volume_count","actual_month_short_volume_count","Monthly count of volume records for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_sum_short_volume","actual_month_sum_short_volume","Monthly total short sale volume for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_sum_squared_short_volume","actual_month_sum_squared_short_volume","Monthly sum of squared short sale volumes for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_sum_squared_trade_price","actual_month_sum_squared_trade_price","Monthly sum of squared short sale principal values for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_sum_trade_price","actual_month_sum_trade_price","Monthly total principal value for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_sum_trade_price_times_volume","actual_month_sum_trade_price_times_volume","Monthly aggregate of short sale principal value multiplied by volume for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","actual_month_trade_price_count","actual_month_trade_price_count","Monthly count of principal value records for the true calendar month","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","amex_actual_month_short_volume","amex_actual_month_short_volume","Calendar-month aligned count of short sale trades/events for AMEX venue","MATRIX","USA","TOP3000","1","0.7518","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","amex_short_volume","amex_short_volume","Raw count of short sale trades/events for AMEX venue in the reporting period","MATRIX","USA","TOP3000","1","0.7518","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","arca_actual_month_short_volume","arca_actual_month_short_volume","Shares sold short on ARCA for the true calendar month.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","arca_short_volume","arca_short_volume","Total shares sold short in trades executed on ARCA.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","short_sale_volume","short_sale_volume","Total number of shares sold short in the trade.","MATRIX","USA","TOP3000","1","1.0","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","short_volume_count","short_volume_count","Count of volume records in the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_data1","shrt29_data1","Total monthly short sale volume (number of shares sold short) for a security and venue","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_data2","shrt29_data2","Total monthly short sale notional value (sum of price × shares) for a security and venue","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=unknown"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_data3","shrt29_data3","data3","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=unknown"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_data1","shrt29_monthly_data1","Total monthly short sale volume (number of shares sold short per security across all venues for the month)","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_data2","shrt29_monthly_data2","Total monthly short sale notional value, calculated as the sum of price × shares for all short sales per security across all venues","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=unknown"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_data3","shrt29_monthly_data3","Count of short sale trades or reported short sale events for each security across all venues during the month","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_truemonth_data1","shrt29_monthly_truemonth_data1","Total short sale volume (shares) for the true calendar month, point-in-time aligned, per security across all venues","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_truemonth_data2","shrt29_monthly_truemonth_data2","Total short sale notional value (price × shares) for the true calendar month, aligned to calendar and regulatory standards, per security across all venues","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=unknown"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_monthly_truemonth_data3","shrt29_monthly_truemonth_data3","Count of short sale trades/events for the true calendar month, point-in-time aligned and compliance-ready, per security across all venues","MATRIX","USA","TOP3000","1","0.8757","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_truemonth_data1","shrt29_truemonth_data1","Calendar-month aligned total short sale volume (number of shares sold short) for compliance and regulatory use","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_truemonth_data2","shrt29_truemonth_data2","Calendar-month aligned total short sale notional value (sum of price × shares) for compliance and regulatory use","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=unknown"
"shortinterest29","Group Short Sale Data","Short Interest","shrt29_truemonth_data3","shrt29_truemonth_data3","Calendar-month aligned total count of short sale trades/events for compliance and regulatory use","MATRIX","USA","TOP3000","1","0.8778","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","sum_short_sale_volume","sum_short_sale_volume","Total number of short sale transactions (volume) in the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","sum_squared_short_volume","sum_squared_short_volume","Sum of squared short sale volumes during the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","sum_squared_trade_price","sum_squared_trade_price","Sum of squared short sale principal values during the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","sum_trade_price","sum_trade_price","Total short sale principal value in the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","sum_trade_price_times_short_volume","sum_trade_price_times_short_volume","Aggregate of principal value times volume for short sales in the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
"shortinterest29","Group Short Sale Data","Short Interest","trade_price_count","trade_price_count","Count of principal value records in the period","MATRIX","USA","TOP3000","1","0.8754","","","2026-07-16T15:20:39","possible_direction=volume"
