dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
shortinterest7,Short Selling Model,Model,shrt7_combo_age,shrt7_combo_age,Normalized average age in days of loans,VECTOR,USA,TOP3000,1,0.9763,,,2026-07-16T15:20:39,possible_direction=unknown,age average days loans model normalized possible_direction selling short shortinterest7 shrt7_combo_age unknown
shortinterest7,Short Selling Model,Model,shrt7_combo_crossdeltaactivity,shrt7_combo_crossdeltaactivity,"Normalized cross-sectional difference in units, tickets, and utilization between overnight and standard contracts",VECTOR,USA,TOP3000,1,0.9762,,,2026-07-16T15:20:39,possible_direction=unknown,between contracts cross difference model normalized overnight possible_direction sectional selling short shortinterest7 shrt7_combo_crossdeltaactivity standard tickets units unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_combo_deltaactivity,shrt7_combo_deltaactivity,"Normalized time series difference in units, tickets, and utilization of contracts",VECTOR,USA,TOP3000,1,0.9732,,,2026-07-16T15:20:39,possible_direction=unknown,contracts difference model normalized possible_direction selling series short shortinterest7 shrt7_combo_deltaactivity tickets time units unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_combo_deltacrossdelta,shrt7_combo_deltacrossdelta,"Normalized cross-sectional difference in units, tickets, and utilization between loans",VECTOR,USA,TOP3000,1,0.9759,,,2026-07-16T15:20:39,possible_direction=unknown,between cross difference loans model normalized possible_direction sectional selling short shortinterest7 shrt7_combo_deltacrossdelta tickets units unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_combo_deltarate,shrt7_combo_deltarate,Normalized time series difference in loan rate of contracts,VECTOR,USA,TOP3000,1,0.9742,,,2026-07-16T15:20:39,possible_direction=unknown,contracts difference loan model normalized possible_direction rate selling series short shortinterest7 shrt7_combo_deltarate time unknown
shortinterest7,Short Selling Model,Model,shrt7_combo_loanrate1,shrt7_combo_loanrate1,Normalized aggregated loan cash collateral rate,VECTOR,USA,TOP3000,1,0.9761,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated cash collateral loan model normalized possible_direction rate selling short shortinterest7 shrt7_combo_loanrate1 unknown
shortinterest7,Short Selling Model,Model,shrt7_combo_loanrate2,shrt7_combo_loanrate2,Normalized aggregated loan non-cash collateral rate,VECTOR,USA,TOP3000,1,0.9763,,,2026-07-16T15:20:39,possible_direction=unknown,aggregated cash collateral loan model non normalized possible_direction rate selling short shortinterest7 shrt7_combo_loanrate2 unknown
shortinterest7,Short Selling Model,Model,shrt7_combo_ltdelta,shrt7_combo_ltdelta,"Normalized long-term difference in units, tickets, and utilization between overnight and standard contracts",VECTOR,USA,TOP3000,1,0.9673,,,2026-07-16T15:20:39,possible_direction=unknown,between contracts difference long model normalized overnight possible_direction selling short shortinterest7 shrt7_combo_ltdelta standard term tickets units unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_combo_tickets,shrt7_combo_tickets,Normalized aggregation for ticket data,VECTOR,USA,TOP3000,1,0.9763,,,2026-07-16T15:20:39,possible_direction=unknown,aggregation data model normalized possible_direction selling short shortinterest7 shrt7_combo_tickets ticket unknown
shortinterest7,Short Selling Model,Model,shrt7_combo_utilisation,shrt7_combo_utilisation,Normalized utilization data,VECTOR,USA,TOP3000,1,0.9684,,,2026-07-16T15:20:39,possible_direction=unknown,data model normalized possible_direction selling short shortinterest7 shrt7_combo_utilisation unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_combo_utilisation_x_rate,shrt7_combo_utilisation_x_rate,Normalized aggregation of utilization multiplied by loan rate,VECTOR,USA,TOP3000,1,0.9684,,,2026-07-16T15:20:39,possible_direction=unknown,aggregation by loan model multiplied normalized possible_direction rate selling short shortinterest7 shrt7_combo_utilisation_x_rate unknown utilization
shortinterest7,Short Selling Model,Model,shrt7_gvkey,shrt7_gvkey,main company identifier,VECTOR,USA,TOP3000,1,0.9782,,,2026-07-16T15:20:39,possible_direction=unknown,company identifier main model possible_direction selling short shortinterest7 shrt7_gvkey unknown
shortinterest7,Short Selling Model,Model,shrt7_isin,shrt7_isin,ISIN security identifier,VECTOR,USA,TOP3000,1,0.9782,,,2026-07-16T15:20:39,possible_direction=unknown,identifier isin model possible_direction security selling short shortinterest7 shrt7_isin unknown
shortinterest7,Short Selling Model,Model,shrt7_shortlasso1d,shrt7_shortlasso1d,Model score using current day's data,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,current data day model possible_direction score selling short shortinterest7 shrt7_shortlasso1d unknown using
shortinterest7,Short Selling Model,Model,shrt7_shortlasso30d,shrt7_shortlasso30d,Model score using last 30 days of data,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,30 data days last model possible_direction score selling short shortinterest7 shrt7_shortlasso30d unknown using
shortinterest7,Short Selling Model,Model,shrt7_shortlasso92d,shrt7_shortlasso92d,Model score using last 92 days of data,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,92 data days last model possible_direction score selling short shortinterest7 shrt7_shortlasso92d unknown using
