dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
socialmedia12,Sentiment Data for Equity,Social Media,scl12_alltype_buzzvec,scl12_alltype_buzzvec,sentiment volume,VECTOR,USA,TOP3000,1,0.9525,,,2026-07-16T15:20:39,possible_direction=volume,data equity media possible_direction scl12_alltype_buzzvec sentiment social socialmedia12 volume
socialmedia12,Sentiment Data for Equity,Social Media,scl12_alltype_sentvec,scl12_alltype_sentvec,sentiment,VECTOR,USA,TOP3000,1,0.9525,,,2026-07-16T15:20:39,possible_direction=sentiment,data equity media possible_direction scl12_alltype_sentvec sentiment social socialmedia12
socialmedia12,Sentiment Data for Equity,Social Media,scl12_alltype_typevec,scl12_alltype_typevec,instrument type index,VECTOR,USA,TOP3000,1,0.9525,,,2026-07-16T15:20:39,possible_direction=sentiment,data equity index instrument media possible_direction scl12_alltype_typevec sentiment social socialmedia12 type
socialmedia12,Sentiment Data for Equity,Social Media,scl12_buzz,scl12_buzz,relative sentiment volume,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,data equity media possible_direction relative scl12_buzz sentiment social socialmedia12 volume
socialmedia12,Sentiment Data for Equity,Social Media,scl12_buzz_fast_d1,scl12_buzz_fast_d1,relative sentiment volume,MATRIX,USA,TOP3000,1,0.9756,,,2026-07-16T15:20:39,possible_direction=volume,data equity media possible_direction relative scl12_buzz_fast_d1 sentiment social socialmedia12 volume
socialmedia12,Sentiment Data for Equity,Social Media,scl12_buzzvec,scl12_buzzvec,Vector representing the volume of social media sentiment/mentions related to the instrument,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,data equity instrument media mentions possible_direction related representing scl12_buzzvec sentiment social socialmedia12 vector volume
socialmedia12,Sentiment Data for Equity,Social Media,scl12_sentiment,scl12_sentiment,sentiment,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,data equity media possible_direction scl12_sentiment sentiment social socialmedia12
socialmedia12,Sentiment Data for Equity,Social Media,scl12_sentiment_fast_d1,scl12_sentiment_fast_d1,sentiment,MATRIX,USA,TOP3000,1,0.9756,,,2026-07-16T15:20:39,possible_direction=sentiment,data equity media possible_direction scl12_sentiment_fast_d1 sentiment social socialmedia12
socialmedia12,Sentiment Data for Equity,Social Media,scl12_sentvec,scl12_sentvec,Vector representing the sentiment score (bullish/bearish/neutral) derived from social media data for the instrument,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,bearish bullish data derived equity from instrument media neutral possible_direction representing scl12_sentvec score sentiment social socialmedia12 vector
socialmedia12,Sentiment Data for Equity,Social Media,scl12_typevec,scl12_typevec,Vector containing the type indices identifying the categories of instruments in the dataset,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,categories containing data dataset equity identifying indices instruments media possible_direction scl12_typevec sentiment social socialmedia12 type vector
socialmedia12,Sentiment Data for Equity,Social Media,snt_buzz,snt_buzz,"Negative relative sentiment volume measure for current day, with missing values filled as 0",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,as current data day equity filled measure media missing negative possible_direction relative sentiment snt_buzz social socialmedia12 values volume
socialmedia12,Sentiment Data for Equity,Social Media,snt_buzz_bfl,snt_buzz_bfl,"Negative relative sentiment volume measure for current day, with missing values filled as 1",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,as current data day equity filled measure media missing negative possible_direction relative sentiment snt_buzz_bfl social socialmedia12 values volume
socialmedia12,Sentiment Data for Equity,Social Media,snt_buzz_bfl_fast_d1,snt_buzz_bfl_fast_d1,"Negative relative sentiment volume measure for current day, with missing values filled as 1",MATRIX,USA,TOP3000,1,0.9998,,,2026-07-16T15:20:39,possible_direction=volume,as current data day equity filled measure media missing negative possible_direction relative sentiment snt_buzz_bfl_fast_d1 social socialmedia12 values volume
socialmedia12,Sentiment Data for Equity,Social Media,snt_buzz_fast_d1,snt_buzz_fast_d1,"Negative relative sentiment volume measure for current day, with missing values filled as 0",MATRIX,USA,TOP3000,1,0.9769,,,2026-07-16T15:20:39,possible_direction=volume,as current data day equity filled measure media missing negative possible_direction relative sentiment snt_buzz_fast_d1 social socialmedia12 values volume
