dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
techindi_model,Deep Learning Technical Indicator Returns,Other,confidence_five_quantile_prediction,confidence_five_quantile_prediction,Model confidence score for five-quantile classification of future returns.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,classification confidence confidence_five_quantile_prediction deep five future indicator learning model other possible_direction quantile returns score techindi_model technical unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,confidence_four_quantile_prediction,confidence_four_quantile_prediction,Model confidence score for four-quantile classification of future returns.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,classification confidence confidence_four_quantile_prediction deep four future indicator learning model other possible_direction quantile returns score techindi_model technical unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,confidence_hundred_quantile_prediction,confidence_hundred_quantile_prediction,Model confidence score for hundred-quantile classification of future returns.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,classification confidence confidence_hundred_quantile_prediction deep future hundred indicator learning model other possible_direction quantile returns score techindi_model technical unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,confidence_three_quantile_prediction,confidence_three_quantile_prediction,Model confidence score for three-quantile classification of future returns.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,classification confidence confidence_three_quantile_prediction deep future indicator learning model other possible_direction quantile returns score techindi_model technical three unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,confidence_two_quantile_prediction,confidence_two_quantile_prediction,Model confidence score for two-quantile classification of future returns.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,classification confidence confidence_two_quantile_prediction deep future indicator learning model other possible_direction quantile returns score techindi_model technical two unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,likelihood_fifth_quantile_five_day_bucket_four,likelihood_fifth_quantile_five_day_bucket_four,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,USA,TOP3000,1,0.9569,,,2026-07-16T18:01:20,possible_direction=unknown,bucket day deep falls fifth five four indicator learning likelihood_fifth_quantile_five_day_bucket_four other possible_direction probability quantile return returns techindi_model technical that unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,likelihood_fifth_quantile_five_day_bucket_four_10,likelihood_fifth_quantile_five_day_bucket_four_10,"Probability that the 5-day return falls in the fifth quantile, bucket 4.",MATRIX,USA,TOP3000,1,0.9569,,,2026-07-16T18:01:20,possible_direction=unknown,bucket day deep falls fifth indicator learning likelihood_fifth_quantile_five_day_bucket_four_10 other possible_direction probability quantile return returns techindi_model technical that unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,likelihood_fifth_quantile_five_day_bucket_four_3,likelihood_fifth_quantile_five_day_bucket_four_3,"Probability that the stock falls into the fifth quantile for five-day return, bucket four.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T18:01:20,possible_direction=unknown,bucket day deep falls fifth five four indicator into learning likelihood_fifth_quantile_five_day_bucket_four_3 other possible_direction probability quantile return returns stock techindi_model technical that unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,likelihood_fifth_quantile_five_day_bucket_four_31,likelihood_fifth_quantile_five_day_bucket_four_31,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,USA,TOP3000,1,0.9766,,,2026-07-16T18:01:20,possible_direction=unknown,bucket day deep falls fifth five four indicator learning likelihood_fifth_quantile_five_day_bucket_four_31 other possible_direction probability quantile return returns techindi_model technical that unknown
techindi_model,Deep Learning Technical Indicator Returns,Other,likelihood_fifth_quantile_five_day_bucket_four_4,likelihood_fifth_quantile_five_day_bucket_four_4,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,USA,TOP3000,1,0.9625,,,2026-07-16T18:01:20,possible_direction=unknown,bucket day deep falls fifth five four indicator learning likelihood_fifth_quantile_five_day_bucket_four_4 other possible_direction probability quantile return returns techindi_model technical that unknown
