dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,adjusted_employee_headcount,adjusted_employee_headcount,Scaled count measure used in delta panels (unitless or scaled),VECTOR,USA,TOP3000,1,0.5754,,,2026-07-16T15:20:39,possible_direction=unknown,adjusted_employee_headcount analytics count delta flow global measure other panels possible_direction scaled skills unitless unknown used workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_headcount,employee_headcount,Expected number of employees in the position represented in that row at that date,VECTOR,USA,TOP3000,1,0.5756,,,2026-07-16T15:20:39,possible_direction=unknown,analytics at date employee_headcount employees expected flow global number other position possible_direction represented row skills that unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_headcount_2,employee_headcount_2,Count measure for the record slice (unit = count),VECTOR,USA,TOP3000,1,0.5754,,,2026-07-16T15:20:39,possible_direction=unknown,analytics count employee_headcount_2 flow global measure other possible_direction record skills slice unit unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_headcount_3,employee_headcount_3,Our expectation of the number of employees in the position represented in that row at that date,VECTOR,USA,TOP3000,1,0.5564,,,2026-07-16T15:20:39,possible_direction=unknown,analytics at date employee_headcount_3 employees expectation flow global number other our position possible_direction represented row skills that unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_inflow_count,employee_inflow_count,Monthly hires/inflow count,VECTOR,USA,TOP3000,1,0.5756,,,2026-07-16T15:20:39,possible_direction=unknown,analytics count employee_inflow_count flow global hires inflow monthly other possible_direction skills unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_inflow_count_2,employee_inflow_count_2,Monthly inflow count (hires/additions during the month),VECTOR,USA,TOP3000,1,0.5754,,,2026-07-16T15:20:39,possible_direction=unknown,additions analytics count during employee_inflow_count_2 flow global hires inflow month monthly other possible_direction skills unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_inflow_count_3,employee_inflow_count_3,Monthly inflow count (number of hires added in the month); unit = count,VECTOR,USA,TOP3000,1,0.5564,,,2026-07-16T15:20:39,possible_direction=unknown,added analytics count employee_inflow_count_3 flow global hires inflow month monthly number other possible_direction skills unit unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_outflow_count,employee_outflow_count,Expected number of employees moving out of the specified position in that month,VECTOR,USA,TOP3000,1,0.5756,,,2026-07-16T15:20:39,possible_direction=unknown,analytics employee_outflow_count employees expected flow global month moving number other out position possible_direction skills specified that unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_outflow_count_2,employee_outflow_count_2,Monthly outflow count (departures during the month),VECTOR,USA,TOP3000,1,0.5754,,,2026-07-16T15:20:39,possible_direction=unknown,analytics count departures during employee_outflow_count_2 flow global month monthly other outflow possible_direction skills unknown workforce workforce_flow_skills
workforce_flow_skills,Global Workforce Flow and Skills Analytics,Other,employee_outflow_count_3,employee_outflow_count_3,Monthly outflow count for the skill record (number of departures; unit = count),VECTOR,USA,TOP3000,1,0.5564,,,2026-07-16T15:20:39,possible_direction=unknown,analytics count departures employee_outflow_count_3 flow global monthly number other outflow possible_direction record skill skills unit unknown workforce workforce_flow_skills
