scope_key,dataset_id,dataset_name,category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,last_field_added,alpha_count,alpha_density,resource_count,forum_count,paper_count,dataset_page_url,scraped_at
ASI_D1_TOP500,model56,Stock Reports Plus,Fundamental,9,0.8717,1.0,1.0,1.1,2022-01-01,11,1.222222,0,0,0,https://platform.worldquantbrain.com/data/data-sets/model56,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,shortinterest6,SmartHoldings Model,Model,11,1.0,1.0,2.0,1.3,2022-05-01,48,4.363636,1,1,0,https://platform.worldquantbrain.com/data/data-sets/shortinterest6,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental28,Global Fundamental Data,Fundamental,522,0.5,1.0,1.0,1.1,2022-05-01,113,0.216475,3,0,3,https://platform.worldquantbrain.com/data/data-sets/fundamental28,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental6,Company Fundamental Data for Equity,Fundamental,295,0.5,1.0,1.0,1.1,2022-05-01,30,0.101695,16,0,16,https://platform.worldquantbrain.com/data/data-sets/fundamental6,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,analyst14,Estimations of Key Fundamentals,Analyst,155,0.4614,1.0,1.0,1.5,2022-07-01,175,1.129032,3,1,2,https://platform.worldquantbrain.com/data/data-sets/analyst14,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,news31,News Analytics on Equities,News,25,0.6469,0.9507,2.0,1.3,2022-07-01,6,0.240000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/news31,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental22,Environmental and Social Governance Data,Fundamental,2,0.3665,0.9507,4.0,1.1,2022-07-01,25,12.500000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/fundamental22,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model141,Interest Rate Sensitivity Measures,Model,4,0.3346,1.0,4.0,1.3,2022-09-01,0,0.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model141,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model144,Stock Selection DL model,Model,2,0.8686,0.9507,2.0,1.3,2022-09-01,12,6.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model144,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,risk68,Forecast Data,Risk,5,0.989,0.9507,2.0,1.0,2022-09-01,3,0.600000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/risk68,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other327,Sensitivity to Interest Rates Model,Other,3,0.8152,0.9507,4.0,1.5,2022-10-01,1,0.333333,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other327,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other78,Earnings and conference call data,Other,12,0.6796,1.0,3.0,1.5,2022-10-01,37,3.083333,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other78,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model110,Big data and machine learning based model,Model,8,0.8844,0.9507,1.0,1.3,2022-10-01,14,1.750000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model110,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model140,Sensitivity to the Inflation Change,Model,3,0.8188,0.9507,3.0,1.3,2022-10-01,0,0.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model140,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,earnings3,Earnings Date Data,Earnings,8,0.7787,0.9507,1.0,1.1,2022-10-01,105,13.125000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/earnings3,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental30,Japan fundamental data by sectors,Fundamental,330,0.5,1.0,4.0,1.1,2022-10-01,1,0.003030,4,0,4,https://platform.worldquantbrain.com/data/data-sets/fundamental30,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other436,Dividend model,Other,3,0.7234,0.9507,5.0,1.5,2022-12-01,0,0.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other436,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model138,Stock Selection from Accounting-based Factors,Model,120,0.8713,0.9507,2.0,1.3,2022-12-01,30,0.250000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model138,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,news59,Corporate Events Data,News,2,0.9585,0.9507,2.0,1.3,2022-12-01,15,7.500000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/news59,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,news66,Webpage View Statistics,News,3,0.2793,1.0,3.0,1.3,2022-12-01,18,6.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/news66,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental4,Hong Kong Fundamental Data,Fundamental,1,0.4675,0.9507,2.0,1.1,2022-12-01,34,34.000000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/fundamental4,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,pv96,Corporate Action Dataset,Price Volume,4,0.6,1.0,1.0,1.0,2022-12-01,0,0.000000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/pv96,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other545,Linked Firms Momentum Data,Other,4,0.8553,0.9507,5.0,1.5,2023-07-01,0,0.000000,3,1,2,https://platform.worldquantbrain.com/data/data-sets/other545,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other335,Multi-Region Dividend Alpha Model Dataset,Other,10,0.7334,0.9507,1.0,1.5,2023-11-01,3,0.300000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other335,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other553,Financial Opinion Mining,Sentiment,13,0.0,1.0,4.0,1.4,2023-11-01,0,0.000000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/other553,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model68,Risk-Alleviated Momentum Scores,Model,4,0.865,0.9507,4.0,1.3,2023-11-01,2,0.500000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/model68,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,imbalance5,Oil Price Resilience Scores,Imbalance,2,0.8698,0.9507,1.0,1.0,2023-11-01,1,0.500000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/imbalance5,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,pv37,Equity Interval Data,Price Volume,706,0.0,1.0,1.0,1.0,2023-11-01,10,0.014164,0,0,0,https://platform.worldquantbrain.com/data/data-sets/pv37,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,univ2,Universe Dataset,Price Volume,1,0.0,,4.0,1.0,2024-06-01,0,0.000000,0,0,0,https://platform.worldquantbrain.com/data/data-sets/univ2,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other128,Global Executive Performance Factors,Other,8,0.0,1.0,3.0,1.5,2024-07-01,46,5.750000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other128,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other36,Outstanding Short Positions for Japanese Equities,Other,10,0.0,0.8168,5.0,1.5,2024-07-01,0,0.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other36,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,other428,Japanese PnL Guidance,Other,11,0.2154,1.0,4.0,1.5,2024-07-01,0,0.000000,1,1,0,https://platform.worldquantbrain.com/data/data-sets/other428,2026-07-17T14:13:02+00:00
