scope_key,dataset_id,dataset_name,resource_urls,economic_logic,field_keywords,field_pairings,operator_skeletons,windows,direction,success_experience,failure_experience,crowding_reminders,evidence_resource_count,evidence_status,scraped_at
ASI_D1_TOP500,model56,Stock Reports Plus,,,,,,,,,,,0,NO_RESOURCES,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,shortinterest6,SmartHoldings Model,https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets,"Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Example Alphas: - Example Alpha Idea 1: Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns. | Time series analysis using 'ts_rank' or 'ts_zscore' should help in developing good Alphas. | In some cases, analyzing these scores across large time periods can give insights about the trend of these scores, which can then be useful to write good Alphas.",industry | returns | price | earnings | growth | cash flow | estimate | value | forecast | volume | quality | analyst,,rank | ts_corr | ts_co_skewness | group_rank | group_neutralize | group_normalize | group_zscore | ts_rank,,,,,"You can use common time series operations like rank, z-score, or measuring the delta of the fields. - Measuring the time series correlation as well as co-skewness can yield good signals for model data fields. | Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Country and sector neutralizations generally work well, though we recommend you to try other groups as well Since some fields of model datasets can be direct/indirect predictors of returns, you can take correlation of it with returns/close to assess its potential predictive power. - Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns.",1,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental28,Global Fundamental Data,https://support.worldquantbrain.com/hc/en-us/community/posts/17611179260823-Research-Paper-68-An-Augmented-q-Factor-Model-with-Expected-Growth;https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-Investor-Learning-Earnings-Signals-and-Stock-Returns;https://support.worldquantbrain.com/hc/en-us/community/posts/14527092583319-Research-Paper-Earnings-Volatility-Ambiguity-and-Crisis-Period-Stock-Returns,"Building on cross-sectional growth forecasts with Tobin’s q, operating cash flows, and change in return on equity as predictors, an expected growth factor earns an average premium of 0.84% per month (t = 10.27) in the 1967–2018 sample. | However, the signaling power of “bottom-line” earnings has declined over time, which complicates assessments of investor learning about profitability signals underlying earnings. | We show that modified earnings variables with lower susceptibility to signal weakening exhibit rates of return attenuation that are 30-64% lower than rates for bottom-line earnings variables over our sample period. | Notably, return gaps between bottom-line and less susceptible variables are widest in recent years, especially within non-overlapping samples and samples with weak bottom-line signals (e.g., special items, losses, fourth fiscal quarter).",growth | returns | return | earnings | risk | volatility | price | analyst | industry,"Notably, return gaps between bottom-line and less susceptible variables are widest in recent years, especially within non-overlapping samples and samples with weak bottom-line signals (e.g., special items, losses, fourth fiscal quarter). | While there is no relation between earnings volatility and stock returns under normal conditions, there is a significant negative relation between crisis-period stock returns and prior earnings volatility.",,,"We show that modified earnings variables with lower susceptibility to signal weakening exhibit rates of return attenuation that are 30-64% lower than rates for bottom-line earnings variables over our sample period. | Consistent with ambiguity-based asset pricing theories, we find that ambiguity concerns are more severe for firms with higher pre-crisis earnings volatility, causing investors to demand a higher ambiguity premium for such firms. | While there is no relation between earnings volatility and stock returns under normal conditions, there is a significant negative relation between crisis-period stock returns and prior earnings volatility.","Our results hold after controlling for risk factors known to predict returns, they do not appear to be attributable to ex ante earnings volatility, and they are robust to alternative sample selection criteria, sub-period partitions, and portfolio holding windows. | Our results are robust to controlling for firm-level characteristics as well as industry-fixed effects.","We show that modified earnings variables with lower susceptibility to signal weakening exhibit rates of return attenuation that are 30-64% lower than rates for bottom-line earnings variables over our sample period. | Notably, return gaps between bottom-line and less susceptible variables are widest in recent years, especially within non-overlapping samples and samples with weak bottom-line signals (e.g., special items, losses, fourth fiscal quarter).",,3,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental6,Company Fundamental Data for Equity,https://support.worldquantbrain.com/hc/en-us/community/posts/17609946232983-Research-Paper-54-Cross-Impact-in-Derivative-Markets;https://support.worldquantbrain.com/hc/en-us/community/posts/17610791209495-Research-Paper-56-Intangible-Value;https://support.worldquantbrain.com/hc/en-us/community/posts/17611043059607-Research-Paper-59-Market-Fragmentation-and-Contagion;https://support.worldquantbrain.com/hc/en-us/community/posts/17611163496343-Research-Paper-67-Understanding-the-Performance-of-the-Equity-Value-Facto;https://support.worldquantbrain.com/hc/en-us/community/posts/16412791948695-Research-Paper-72-Testing-for-Asset-Price-Bubbles-using-Options-Data;https://support.worldquantbrain.com/hc/en-us/community/posts/16412807448599-Research-Paper-73-Uncertainty-Resolution-Before-Earnings-Announcements;https://support.worldquantbrain.com/hc/en-us/community/posts/14626658089495-Research-Paper-03-Cross-Firm-Information-Flows-and-the-Predictability-of-Stock-Returns;https://support.worldquantbrain.com/hc/en-us/community/posts/14932488666903-Research-Paper-04-Are-Cash-Flows-Better-Stock-Return-Predictors-than-Profits;https://support.worldquantbrain.com/hc/en-us/community/posts/15440417945623-Research-Paper-06-Penny-Wise-Dollar-Foolish-Buy-Sell-Imbalances-On-and-Around-Round-Numbers;https://support.worldquantbrain.com/hc/en-us/community/posts/15238244743447-Research-Paper-Profitability-R-D-Investments-and-the-Cross-Section-of-Stock-Returns;https://support.worldquantbrain.com/hc/en-us/community/posts/15465017312535-Research-Paper-09-The-Invisible-Burden;https://support.worldquantbrain.com/hc/en-us/community/posts/15465061985047-Research-Paper-10-Disagreement-in-Option-Market-and-Cross-Section-Stock-Returns;https://support.worldquantbrain.com/hc/en-us/community/posts/15770899735703-Research-Paper-11-Analyst-Following-Along-the-Supply-Chain;https://support.worldquantbrain.com/hc/en-us/community/posts/15770966939671-Research-Paper-12-Stock-Recommendations-from-Stochastic-Discounted-Cash-Flows;https://support.worldquantbrain.com/hc/en-us/community/posts/15465058281495-Research-Paper-13-Valuation-Ratios-Surprises-Uncertainty-or-Sentiment-How-Does-Financial-Machine-Learning-Predict-Returns-From-Earnings-Announcements;https://support.worldquantbrain.com/hc/en-us/community/posts/15465067937687-Research-Paper-14-What-Insiders-Know-About-Future-Earnings-and-How-They-Use-it-Evidence-from-Insider-Trades,"Our intangible value factor prices assets as well as or better than the traditional value factor but yields substantially higher returns. | Arbitrageurs effectively provide liquidity to investors by inter-mediating trades between venues. | We illustrate this contagion with examples of high-frequency trading in equity markets, shocks to one tranche of a collateralized debt obligation impacting investors in the other tranches, carry trade crashes, shocks to cross-country bank lending following the global financial crisis, and the bursting of the Japanese bubble in the early 1990s. | Indeed, trading facilities, ease of access to fundamental data for a large number of investors, ESG investing and the digitalization of the economy may have changed the rules of the game.",price | liquidity | volatility | value | returns | earnings | growth | risk | sentiment | estimate | volume | announcement,"Arbitrageurs effectively provide liquidity to investors by inter-mediating trades between venues. | Indeed, in a context dominated by low yields, sluggish growth and subdued inflation combined with an accelerating digitalization of the economy, the performance of value strategies struggled over the past decade. | Our ESG analysis corroborates the ""transatlantic divide"", the historical gap between the U.S. and Europe on this front, and shows that value and growth stocks are not necessarily all brown and green stocks.",,10 years | 60 days,"Using E-Mini futures and options along with VIX futures, we provide empirical evidence that the price formation process from order flows on derivatives is driven by cross-impact and confirm that the simple Kyle cross-impact model is successful at capturing parsimoniously such empirical phenomenology. | Our intangible value factor prices assets as well as or better than the traditional value factor but yields substantially higher returns. | In addition to this direct effect through the arbitrage network, there is a feedback effect of an adverse shock reducing liquidity and arbitrageur profits, which leads to a lower level of inter-mediation, further reducing liquidity.","Using E-Mini futures and options along with VIX futures, we provide empirical evidence that the price formation process from order flows on derivatives is driven by cross-impact and confirm that the simple Kyle cross-impact model is successful at capturing parsimoniously such empirical phenomenology. | We propose a simple improvement to the classic Fama and French (1992, 1993) value factor that incorporates intangibles and addresses differences in accounting practices across industries. | We show that the intangible value factor sorts more effectively within industries on productivity, profitability, financial soundness, and on other valuation ratios such as price-to-earnings.","Consistent with avoiding an established legal jeopardy, there is little abnormal selling in the two quarters immediately prior to the break.",,16,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,analyst14,Estimations of Key Fundamentals,https://support.worldquantbrain.com/hc/en-us/community/posts/25238159368215-Getting-started-with-Analyst-Datasets;https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-Investor-Learning-Earnings-Signals-and-Stock-Returns;https://support.worldquantbrain.com/hc/en-us/community/posts/15102958024087-Research-Paper-Factor-Investing-Get-Your-Exposures-Right,"For this purpose, you can use the ts_delta operator. - General guidance for using the group operators on model data fields includes trying the following: group_rank, group_neutralize, group_normalize, and group_zscore. - Since some analyst datasets indirectly seeks to predict returns, you can assess their potential predictive power by taking the correlation of data fields with returns/close prices. - Analyst datasets can be large and serve as signals that seeks to predict potential returns. | Example Alpha Ideas: - Check differences between estimates of long-term versus short-term horizons, and set reversal or momentum signals based on which time horizon is higher. | The same idea can apply to comparisons between estimates and actuals. - Assign Alphas based directly on the estimates, or delta(estimates), or correlation(estimates, returns on the same horizon). - Assign Alphas in the event of high dispersion among estimates or estimates of different time horizons. | However, the signaling power of “bottom-line” earnings has declined over time, which complicates assessments of investor learning about profitability signals underlying earnings.",analyst | sentiment | returns | momentum | estimate | earnings | return | risk | volatility,"Example Alpha Ideas: - Check differences between estimates of long-term versus short-term horizons, and set reversal or momentum signals based on which time horizon is higher. | The same idea can apply to comparisons between estimates and actuals. - Assign Alphas based directly on the estimates, or delta(estimates), or correlation(estimates, returns on the same horizon). - Assign Alphas in the event of high dispersion among estimates or estimates of different time horizons. | Notably, return gaps between bottom-line and less susceptible variables are widest in recent years, especially within non-overlapping samples and samples with weak bottom-line signals (e.g., special items, losses, fourth fiscal quarter).",ts_rank | zscore | rank | ts_delta | group_rank | group_neutralize | group_normalize | group_zscore,,"Example Alpha Ideas: - Check differences between estimates of long-term versus short-term horizons, and set reversal or momentum signals based on which time horizon is higher. | We show that modified earnings variables with lower susceptibility to signal weakening exhibit rates of return attenuation that are 30-64% lower than rates for bottom-line earnings variables over our sample period. | We propose a framework to build those robust stock expected returns and show that the targeted factor exposures are retained by the portfolios both before and after applying realistic constraints, e.g. long-only.","Our results hold after controlling for risk factors known to predict returns, they do not appear to be attributable to ex ante earnings volatility, and they are robust to alternative sample selection criteria, sub-period partitions, and portfolio holding windows. | We show that such portfolios can be derived from mean-variance optimization using stock expected returns as inputs provided these are built in a robust way from information about the factors. | We propose a framework to build those robust stock expected returns and show that the targeted factor exposures are retained by the portfolios both before and after applying realistic constraints, e.g. long-only.","We show that modified earnings variables with lower susceptibility to signal weakening exhibit rates of return attenuation that are 30-64% lower than rates for bottom-line earnings variables over our sample period. | Notably, return gaps between bottom-line and less susceptible variables are widest in recent years, especially within non-overlapping samples and samples with weak bottom-line signals (e.g., special items, losses, fourth fiscal quarter). | Other more simplistic approaches fail.","For this purpose, you can use the ts_delta operator. - General guidance for using the group operators on model data fields includes trying the following: group_rank, group_neutralize, group_normalize, and group_zscore. - Since some analyst datasets indirectly seeks to predict returns, you can assess their potential predictive power by taking the correlation of data fields with returns/close prices. - Analyst datasets can be large and serve as signals that seeks to predict potential returns. | The same idea can apply to comparisons between estimates and actuals. - Assign Alphas based directly on the estimates, or delta(estimates), or correlation(estimates, returns on the same horizon). - Assign Alphas in the event of high dispersion among estimates or estimates of different time horizons.",3,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,news31,News Analytics on Equities,https://support.worldquantbrain.com/hc/en-us/community/posts/25238147879319-Getting-started-with-News-Datasets,"When integrated with stock prices, news data can offer a deeper understanding of market behaviors and trends. - By carefully analyzing and utilizing news data, investors can gain valuable insights into market trends and make more informed decisions. | Examples of Alpha Ideas: - News (or event) datasets: These datasets contain data fields regarding the change in price or volume in response to a news event. | To filter this noise, we recommend employing operations such as winsorizing, truncating, or left/right tail filtering. - Signal regularization: Further regularization of signals tends to improve the performance of such an Alpha. | Associating these directions with closing prices or returns can help integrate the impact of news on stock prices.",news | earnings | price | volume | returns | sentiment,,,,,"When integrated with stock prices, news data can offer a deeper understanding of market behaviors and trends. - By carefully analyzing and utilizing news data, investors can gain valuable insights into market trends and make more informed decisions. | To filter this noise, we recommend employing operations such as winsorizing, truncating, or left/right tail filtering. - Signal regularization: Further regularization of signals tends to improve the performance of such an Alpha.",,,1,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,fundamental22,Environmental and Social Governance Data,,,,,,,,,,,0,NO_RESOURCES,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model141,Interest Rate Sensitivity Measures,https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets,"Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Example Alphas: - Example Alpha Idea 1: Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns. | Time series analysis using 'ts_rank' or 'ts_zscore' should help in developing good Alphas. | In some cases, analyzing these scores across large time periods can give insights about the trend of these scores, which can then be useful to write good Alphas.",industry | returns | price | earnings | growth | cash flow | estimate | value | forecast | volume | quality | analyst,,rank | ts_corr | ts_co_skewness | group_rank | group_neutralize | group_normalize | group_zscore | ts_rank,,,,,"You can use common time series operations like rank, z-score, or measuring the delta of the fields. - Measuring the time series correlation as well as co-skewness can yield good signals for model data fields. | Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Country and sector neutralizations generally work well, though we recommend you to try other groups as well Since some fields of model datasets can be direct/indirect predictors of returns, you can take correlation of it with returns/close to assess its potential predictive power. - Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns.",1,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,model144,Stock Selection DL model,https://support.worldquantbrain.com/hc/en-us/community/posts/25238147759383-Getting-started-with-Model-Datasets,"Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Example Alphas: - Example Alpha Idea 1: Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns. | Time series analysis using 'ts_rank' or 'ts_zscore' should help in developing good Alphas. | In some cases, analyzing these scores across large time periods can give insights about the trend of these scores, which can then be useful to write good Alphas.",industry | returns | price | earnings | growth | cash flow | estimate | value | forecast | volume | quality | analyst,,rank | ts_corr | ts_co_skewness | group_rank | group_neutralize | group_normalize | group_zscore | ts_rank,,,,,"You can use common time series operations like rank, z-score, or measuring the delta of the fields. - Measuring the time series correlation as well as co-skewness can yield good signals for model data fields. | Therefore, sector and industry neutralizations are preferred for these. - Since model datasets may be direct or indirect predictors of returns, you can take the correlation of data fields with close price or returns to judge its potential predictive power and create Alphas. | Country and sector neutralizations generally work well, though we recommend you to try other groups as well Since some fields of model datasets can be direct/indirect predictors of returns, you can take correlation of it with returns/close to assess its potential predictive power. - Fields based on Earnings Surprise, Earnings Growth, Cash Flow etc. tend to be highly predictive indicators of future returns.",1,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
ASI_D1_TOP500,risk68,Forecast Data,https://support.worldquantbrain.com/hc/en-us/community/posts/27157459347991-Getting-started-with-Risk-Datasets,"Getting started with Risk Datasets: # Getting started with Risk Datasets Source: https://support.worldquantbrain.com/hc/en-us/community/posts/27157459347991-Getting-started-with-Risk-Datasets Tips for getting started with [Risk](https://platform.worldquantbrain.com/data/data-sets?category=risk) Datasets: - Risk factors are variables that influence the returns of assets. | Common examples include market returns, interest rates, inflation rates, or industry-specific influences. | These factors can be: Systematic: Affecting the entire market (e.g., market returns, interest rates). | Idiosyncratic: Specific to individual assets (e.g., company-specific news). - Systematic: Affecting the entire market (e.g., market returns, interest rates). - Idiosyncratic: Specific to individual assets (e.g., company-specific news). - Factor Models, such as the Capital Asset Pricing Model (CAPM) and the Fama-French Three-Factor Model, explain asset returns based on exposure to various risk factors.",risk | returns | industry | news | return | earnings | growth | quality | beta,,,,"This approach helps you maintain diversity in your Alpha pool and avoid over-reliance on a few specific factors. - To leverage factor loadings and enhance returns, consider the following strategy: During periods of healthy earnings growth, go long on stocks with high loadings on the earnings quality factor. | This approach may potentially lead to higher returns by focusing on stocks that benefit from strong earnings quality. | To leverage factor loadings and enhance returns, consider the following strategy: During periods of healthy earnings growth, go long on stocks with high loadings on the earnings quality factor.",They provide valuable information for controlling risk exposure in your Alphas.,"This approach helps you maintain diversity in your Alpha pool and avoid over-reliance on a few specific factors. - To leverage factor loadings and enhance returns, consider the following strategy: During periods of healthy earnings growth, go long on stocks with high loadings on the earnings quality factor.",,1,EVIDENCE_EXTRACTED,2026-07-17T14:13:02+00:00
